product_id,name,category,store_count,record_count,blended_rank
1013565,Ketchup Picant 500g Tomi,PANIFICATIE,694,4093,1.5
1013048,Jacobs Kronung Cafea Macinata 250g,"CAFEA, CEAI",696,4062,2.5
1012834,Dr Oetker Zahar Pudra Aroma Van80g,ALIMENTE DE BAZA,693,4092,2.5
1016588,Tassimo Cappuccino Capsule 260g,"CAFEA, CEAI",690,4077,3.5
1013020,Dr Oetker Drojdie Uscata Instant7g,ALIMENTE DE BAZA,689,4050,5.5
1012168,Heinz Ketchup De Rosii 570g,PANIFICATIE,688,4055,5.5
1018415,La Minut Mustar 300g,PANIFICATIE,687,4045,7.0
1013940,"L-Carnitin Instant, Plic 15 G",PANIFICATIE,686,4035,8.0
1015719,Barilla Spaghete No.5,ALIMENTE DE BAZA,683,4035,8.5
1011709,Bunica Ulei Floarea Soarelui 1l,ALIMENTE DE BAZA,681,4013,10.0
1011062,Barilla Paste Fusilli Nr98 500g,ALIMENTE DE BAZA,674,3995,11.0
1015660,Dr.Oetker Original Pudding Praf Budinca Gust Vanilie 40g,"COFETARIE, DESERT, DULCIURI",667,3948,12.0
1017576,"Bomboane M&M' S Cu Arahide, 45g","COFETARIE, DESERT, DULCIURI",667,3942,12.5
1024060,Dr Oetker Esenta De Rom 38 Ml,ALIMENTE DE BAZA,666,3918,14.5
1017806,Dr Oetker Esenta De Vanilie 38 Ml,ALIMENTE DE BAZA,663,3934,15.0
1013501,Dolce Gusto Cafe Au Lait  160g,"CAFEA, CEAI",664,3894,16.0
1014291,Bicarbonat Amoniu 7g Dr.Oetker,ALIMENTE DE BAZA,659,3906,16.5
1014705,Panzani Malai Pt Mamaliga Rapid 500g,ALIMENTE DE BAZA,658,3886,18.0
1013123,Nescafe Dg Espresso Inteso 128g,"CAFEA, CEAI",657,3857,19.5
1016507,Tassimo Morning Cafe 124.8g,"CAFEA, CEAI",652,3862,20.0
1014022,Brasero Cafea Instant,"CAFEA, CEAI",653,3855,20.5
1010554,Cub Aliment Gust Gaina 60g Mag,PANIFICATIE,650,3848,22.0
1022679,Dr.Oetker Bourbon Zahar Vanilat 8g,ALIMENTE DE BAZA,648,3834,23.0
1014629,M&M'S Choco 45gr,"COFETARIE, DESERT, DULCIURI",645,3819,24.0
1014679,Baneasa Malai 1kg,ALIMENTE DE BAZA,644,3797,25.0
1021242,Bomb Cioco&Lapte 68g Maltesers,"COFETARIE, DESERT, DULCIURI",640,3783,26.0
1014152,Cafea Boabe  Beans 500gjacobs,"CAFEA, CEAI",633,3722,27.0
1023646,Bomboane Kinder Schokobons 125g,"COFETARIE, DESERT, DULCIURI",632,3694,28.5
1014741,Acadea Chupa Chups Melody Pop 15 G,"COFETARIE, DESERT, DULCIURI",624,3695,29.0
1013742,Kfc Sos Cu Usturoi,PANIFICATIE,625,3678,29.5
1010376,Spornic Bun La Toate Ulei 1l,ALIMENTE DE BAZA,620,3644,31.0
1010570,Bisc.Fara Zahar170g Fibra Gull,"COFETARIE, DESERT, DULCIURI",616,3640,32.0
1014076,La Minut Mustar Dulce 290g,PANIFICATIE,610,3613,33.0
1016154,Maggi Secretul Gustului Legume75g,PANIFICATIE,608,3596,34.0
