network,avg_price,min_price,max_price,stores
SELGROS,4.98,4.98,4.98,5
AUCHAN,5.31,4.79,5.39,15
CORA,5.39,5.39,5.39,4
PROFI,5.81,5.65,5.99,129
CARREFOUR,5.82,5.45,7.19,50
MEGA IMAGE SRL,5.91,5.89,6.39,105

network,price_date,avg_price
AUCHAN,14.04.2026 04:00,5.09
CARREFOUR,14.04.2026 04:00,5.45
MEGA IMAGE SRL,14.04.2026 04:00,5.89
PROFI,14.04.2026 04:00,5.72
SELGROS,14.04.2026 04:00,5.43
AUCHAN,15.04.2026 04:00,5.39
CARREFOUR,15.04.2026 04:00,5.71
MEGA IMAGE SRL,15.04.2026 04:00,5.89
PROFI,15.04.2026 04:00,5.79
AUCHAN,15.04.2026 20:00,5.31
CARREFOUR,15.04.2026 20:00,5.82
CORA,15.04.2026 20:00,5.39
MEGA IMAGE SRL,15.04.2026 20:00,5.9
PROFI,15.04.2026 20:00,5.81
SELGROS,15.04.2026 20:00,5.43
AUCHAN,17.04.2026 04:00,5.31
CARREFOUR,17.04.2026 04:00,5.82
CORA,17.04.2026 04:00,5.39
MEGA IMAGE SRL,17.04.2026 04:00,5.9
PROFI,17.04.2026 04:00,5.8
SELGROS,17.04.2026 04:00,5.43
AUCHAN,17.04.2026 20:00,5.31
CARREFOUR,17.04.2026 20:00,5.83
CORA,17.04.2026 20:00,5.39
MEGA IMAGE SRL,17.04.2026 20:00,5.9
PROFI,17.04.2026 20:00,5.8
SELGROS,17.04.2026 20:00,5.43
AUCHAN,18.04.2026 20:00,5.31
CARREFOUR,18.04.2026 20:00,5.83
CORA,18.04.2026 20:00,5.39
MEGA IMAGE SRL,18.04.2026 20:00,5.9
PROFI,18.04.2026 20:00,5.81
SELGROS,18.04.2026 20:00,5.43
AUCHAN,19.04.2026 20:00,5.31
CARREFOUR,19.04.2026 20:00,5.83
CORA,19.04.2026 20:00,5.39
MEGA IMAGE SRL,19.04.2026 20:00,5.9
PROFI,19.04.2026 20:00,5.81
SELGROS,19.04.2026 20:00,5.43
AUCHAN,20.04.2026 20:00,5.31
CARREFOUR,20.04.2026 20:00,5.82
CORA,20.04.2026 20:00,5.39
MEGA IMAGE SRL,20.04.2026 20:00,5.9
PROFI,20.04.2026 20:00,5.81
SELGROS,20.04.2026 20:00,5.43
AUCHAN,21.04.2026 20:00,5.31
CARREFOUR,21.04.2026 20:00,5.82
CORA,21.04.2026 20:00,5.39
MEGA IMAGE SRL,21.04.2026 20:00,5.9
PROFI,21.04.2026 20:00,5.81
SELGROS,21.04.2026 20:00,4.98
AUCHAN,22.04.2026 20:00,5.31
CARREFOUR,22.04.2026 20:00,5.82
CORA,22.04.2026 20:00,5.39
MEGA IMAGE SRL,22.04.2026 20:00,5.91
PROFI,22.04.2026 20:00,5.81
SELGROS,22.04.2026 20:00,4.98
AUCHAN,23.04.2026 20:00,5.31
CARREFOUR,23.04.2026 20:00,5.82
CORA,23.04.2026 20:00,5.39
MEGA IMAGE SRL,23.04.2026 20:00,5.91
PROFI,23.04.2026 20:00,5.81
SELGROS,23.04.2026 20:00,4.98
