network,avg_price,min_price,max_price,stores
SUPECO,1.99,1.99,1.99,2
KAUFLAND,2.19,2.19,2.19,9
CARREFOUR,2.54,2.49,2.69,43
PROFI,3.44,1.85,3.55,16

network,price_date,avg_price
CARREFOUR,14.04.2026 04:00,2.52
KAUFLAND,14.04.2026 04:00,2.19
CARREFOUR,15.04.2026 04:00,2.53
KAUFLAND,15.04.2026 04:00,2.19
PROFI,15.04.2026 04:00,3.41
SUPECO,15.04.2026 04:00,1.99
CARREFOUR,15.04.2026 20:00,2.49
CARREFOUR,16.04.2026 04:00,2.49
CARREFOUR,16.04.2026 20:00,2.49
CARREFOUR,17.04.2026 04:00,2.54
KAUFLAND,17.04.2026 04:00,2.19
PROFI,17.04.2026 04:00,3.44
SUPECO,17.04.2026 04:00,1.99
