network,avg_price,min_price,max_price,stores
PROFI,12.04,7.22,14.45,3
CORA,14.79,14.79,14.79,1
AUCHAN,14.79,14.79,14.79,2
CARREFOUR,16.86,14.49,18.99,4

network,price_date,avg_price
CARREFOUR,14.04.2026 04:00,15.3
PROFI,14.04.2026 04:00,12.64
AUCHAN,15.04.2026 04:00,14.79
CARREFOUR,15.04.2026 04:00,16.02
CORA,15.04.2026 04:00,14.79
PROFI,15.04.2026 04:00,12.88
SELGROS,15.04.2026 04:00,22.66
CARREFOUR,15.04.2026 20:00,15.74
AUCHAN,16.04.2026 04:00,14.79
CARREFOUR,16.04.2026 04:00,16.86
CORA,16.04.2026 04:00,14.79
PROFI,16.04.2026 04:00,12.04
