network,avg_price,min_price,max_price,stores
AUCHAN,8.99,8.99,8.99,1
KAUFLAND,14.49,14.49,14.49,9
CORA,14.69,14.69,14.69,1
CARREFOUR,14.99,14.99,14.99,1
MEGA IMAGE SRL,14.99,14.99,14.99,6
PROFI,15.47,15.39,15.85,23

network,price_date,avg_price
AUCHAN,14.04.2026 04:00,8.99
CARREFOUR,14.04.2026 04:00,15.06
KAUFLAND,14.04.2026 04:00,14.49
MEGA IMAGE SRL,14.04.2026 04:00,14.99
PROFI,14.04.2026 04:00,15.35
AUCHAN,15.04.2026 04:00,8.99
CARREFOUR,15.04.2026 04:00,15.06
CORA,15.04.2026 04:00,14.69
KAUFLAND,15.04.2026 04:00,14.49
MEGA IMAGE SRL,15.04.2026 04:00,14.99
PROFI,15.04.2026 04:00,15.35
SELGROS,15.04.2026 04:00,12.71
AUCHAN,15.04.2026 20:00,8.99
CARREFOUR,15.04.2026 20:00,14.99
KAUFLAND,15.04.2026 20:00,14.49
MEGA IMAGE SRL,15.04.2026 20:00,14.99
PROFI,15.04.2026 20:00,15.39
AUCHAN,16.04.2026 04:00,8.99
CARREFOUR,16.04.2026 04:00,14.99
CORA,16.04.2026 04:00,14.69
KAUFLAND,16.04.2026 04:00,14.49
MEGA IMAGE SRL,16.04.2026 04:00,14.99
PROFI,16.04.2026 04:00,15.47
