network,avg_price,min_price,max_price,stores
PENNY,7.39,7.39,7.39,2
CORA,8.25,8.25,8.25,3
MEGA IMAGE SRL,8.49,8.49,8.49,117
AUCHAN,8.49,8.49,8.49,11
KAUFLAND,8.85,8.85,8.85,28
PROFI,8.87,7.49,8.89,146
SELGROS,9.59,9.59,9.59,4

network,price_date,avg_price
AUCHAN,14.04.2026 04:00,8.49
CARREFOUR,14.04.2026 04:00,8.67
KAUFLAND,14.04.2026 04:00,8.85
MEGA IMAGE SRL,14.04.2026 04:00,8.21
PROFI,14.04.2026 04:00,8.89
SELGROS,14.04.2026 04:00,9.59
AUCHAN,15.04.2026 04:00,8.49
CARREFOUR,15.04.2026 04:00,8.73
KAUFLAND,15.04.2026 04:00,8.85
MEGA IMAGE SRL,15.04.2026 04:00,8.49
PROFI,15.04.2026 04:00,8.82
AUCHAN,15.04.2026 20:00,8.49
CARREFOUR,15.04.2026 20:00,8.88
CORA,15.04.2026 20:00,8.25
KAUFLAND,15.04.2026 20:00,8.85
MEGA IMAGE SRL,15.04.2026 20:00,8.49
PENNY,15.04.2026 20:00,7.39
PROFI,15.04.2026 20:00,8.87
SELGROS,15.04.2026 20:00,9.59
AUCHAN,17.04.2026 04:00,8.49
CARREFOUR,17.04.2026 04:00,8.88
CORA,17.04.2026 04:00,8.25
KAUFLAND,17.04.2026 04:00,8.85
MEGA IMAGE SRL,17.04.2026 04:00,8.49
PENNY,17.04.2026 04:00,7.39
PROFI,17.04.2026 04:00,8.87
SELGROS,17.04.2026 04:00,9.59
AUCHAN,17.04.2026 20:00,8.49
CARREFOUR,17.04.2026 20:00,7.5
CORA,17.04.2026 20:00,8.25
KAUFLAND,17.04.2026 20:00,8.85
MEGA IMAGE SRL,17.04.2026 20:00,8.49
PENNY,17.04.2026 20:00,7.39
PROFI,17.04.2026 20:00,8.87
SELGROS,17.04.2026 20:00,9.59
AUCHAN,18.04.2026 20:00,8.49
CARREFOUR,18.04.2026 20:00,7.5
CORA,18.04.2026 20:00,8.25
KAUFLAND,18.04.2026 20:00,8.85
MEGA IMAGE SRL,18.04.2026 20:00,8.49
PENNY,18.04.2026 20:00,7.39
PROFI,18.04.2026 20:00,8.87
SELGROS,18.04.2026 20:00,9.59
AUCHAN,19.04.2026 20:00,8.49
CARREFOUR,19.04.2026 20:00,7.5
CORA,19.04.2026 20:00,8.25
KAUFLAND,19.04.2026 20:00,8.85
MEGA IMAGE SRL,19.04.2026 20:00,8.49
PENNY,19.04.2026 20:00,7.39
PROFI,19.04.2026 20:00,8.87
SELGROS,19.04.2026 20:00,9.59
AUCHAN,20.04.2026 20:00,8.49
CARREFOUR,20.04.2026 20:00,7.05
CORA,20.04.2026 20:00,8.25
KAUFLAND,20.04.2026 20:00,8.85
MEGA IMAGE SRL,20.04.2026 20:00,8.49
PENNY,20.04.2026 20:00,7.39
PROFI,20.04.2026 20:00,8.87
SELGROS,20.04.2026 20:00,9.59
AUCHAN,21.04.2026 20:00,8.49
CARREFOUR,21.04.2026 20:00,7.05
CORA,21.04.2026 20:00,8.25
KAUFLAND,21.04.2026 20:00,8.85
MEGA IMAGE SRL,21.04.2026 20:00,8.49
PENNY,21.04.2026 20:00,7.39
PROFI,21.04.2026 20:00,8.87
SELGROS,21.04.2026 20:00,9.59
AUCHAN,22.04.2026 20:00,8.49
CARREFOUR,22.04.2026 20:00,7.05
CORA,22.04.2026 20:00,8.25
KAUFLAND,22.04.2026 20:00,8.85
MEGA IMAGE SRL,22.04.2026 20:00,8.49
PENNY,22.04.2026 20:00,7.39
PROFI,22.04.2026 20:00,8.87
SELGROS,22.04.2026 20:00,9.59
AUCHAN,23.04.2026 20:00,8.49
CARREFOUR,23.04.2026 20:00,7.05
CORA,23.04.2026 20:00,8.25
KAUFLAND,23.04.2026 20:00,8.85
MEGA IMAGE SRL,23.04.2026 20:00,8.49
PENNY,23.04.2026 20:00,7.39
PROFI,23.04.2026 20:00,8.87
SELGROS,23.04.2026 20:00,9.59
AUCHAN,24.04.2026 20:00,8.49
CORA,24.04.2026 20:00,8.25
KAUFLAND,24.04.2026 20:00,8.85
MEGA IMAGE SRL,24.04.2026 20:00,8.49
PENNY,24.04.2026 20:00,7.39
PROFI,24.04.2026 20:00,8.87
SELGROS,24.04.2026 20:00,9.59
AUCHAN,25.04.2026 20:00,8.49
CORA,25.04.2026 20:00,8.25
KAUFLAND,25.04.2026 20:00,8.85
MEGA IMAGE SRL,25.04.2026 20:00,8.49
PENNY,25.04.2026 20:00,7.39
PROFI,25.04.2026 20:00,8.87
SELGROS,25.04.2026 20:00,9.59
