network,avg_price,min_price,max_price,stores
KAUFLAND,9.49,9.49,9.49,7
PENNY,11.49,11.49,11.49,7
CARREFOUR,14.83,12.39,16.99,7
CORA,15.39,15.39,15.39,1

network,price_date,avg_price
AUCHAN,14.04.2026 04:00,11.95
CARREFOUR,14.04.2026 04:00,13.54
KAUFLAND,14.04.2026 04:00,9.49
AUCHAN,15.04.2026 04:00,11.95
CARREFOUR,15.04.2026 04:00,13.6
CORA,15.04.2026 04:00,15.39
KAUFLAND,15.04.2026 04:00,9.49
PENNY,15.04.2026 04:00,11.49
SELGROS,15.04.2026 04:00,11.39
SUPECO,15.04.2026 04:00,13.99
CARREFOUR,15.04.2026 20:00,13.47
KAUFLAND,15.04.2026 20:00,9.49
CARREFOUR,16.04.2026 04:00,14.83
CORA,16.04.2026 04:00,15.39
KAUFLAND,16.04.2026 04:00,9.49
PENNY,16.04.2026 04:00,11.49
