network,avg_price,min_price,max_price,stores
AUCHAN,93.9,93.9,93.9,1
CARREFOUR,109.21,109.15,111.29,38
CORA,125.89,125.89,125.89,5
SELGROS,128.9,128.9,128.9,17

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,109.15
SELGROS,13.04.2026 20:00,128.9
AUCHAN,14.04.2026 04:00,93.9
CARREFOUR,14.04.2026 04:00,109.47
CORA,14.04.2026 04:00,125.89
SELGROS,14.04.2026 04:00,128.9
AUCHAN,15.04.2026 04:00,93.9
CARREFOUR,15.04.2026 04:00,109.34
CORA,15.04.2026 04:00,125.89
SELGROS,15.04.2026 04:00,128.9
CARREFOUR,15.04.2026 20:00,109.15
CORA,15.04.2026 20:00,125.89
SELGROS,15.04.2026 20:00,128.9
CARREFOUR,16.04.2026 04:00,109.69
CORA,16.04.2026 04:00,125.89
SELGROS,16.04.2026 04:00,128.9
CARREFOUR,16.04.2026 20:00,109.86
CORA,16.04.2026 20:00,125.89
SELGROS,16.04.2026 20:00,128.9
AUCHAN,17.04.2026 04:00,93.9
CARREFOUR,17.04.2026 04:00,109.21
CORA,17.04.2026 04:00,125.89
SELGROS,17.04.2026 04:00,128.9
