network,avg_price,min_price,max_price,stores
AUCHAN,26.05,24.99,32.39,7
CORA,28.5,28.5,28.5,4
CARREFOUR,32.28,31.19,32.99,38
MEGA IMAGE SRL,32.62,32.59,35.19,86
KAUFLAND,33.19,33.19,33.19,17

network,price_date,avg_price
AUCHAN,14.04.2026 04:00,26.66
CARREFOUR,14.04.2026 04:00,32.64
KAUFLAND,14.04.2026 04:00,33.19
MEGA IMAGE SRL,14.04.2026 04:00,32.59
AUCHAN,15.04.2026 04:00,24.99
CARREFOUR,15.04.2026 04:00,32.47
KAUFLAND,15.04.2026 04:00,33.19
MEGA IMAGE SRL,15.04.2026 04:00,32.59
AUCHAN,15.04.2026 20:00,26.05
CARREFOUR,15.04.2026 20:00,32.28
CORA,15.04.2026 20:00,28.5
KAUFLAND,15.04.2026 20:00,33.19
MEGA IMAGE SRL,15.04.2026 20:00,32.62
AUCHAN,17.04.2026 04:00,26.05
CARREFOUR,17.04.2026 04:00,32.28
CORA,17.04.2026 04:00,28.5
KAUFLAND,17.04.2026 04:00,33.19
MEGA IMAGE SRL,17.04.2026 04:00,32.62
AUCHAN,17.04.2026 20:00,26.05
CARREFOUR,17.04.2026 20:00,32.28
CORA,17.04.2026 20:00,28.5
KAUFLAND,17.04.2026 20:00,33.19
MEGA IMAGE SRL,17.04.2026 20:00,32.62
