network,avg_price,min_price,max_price,stores
CORA,30.49,30.49,30.49,4
PROFI,39.57,26.39,39.99,103
AUCHAN,39.99,39.99,39.99,5
KAUFLAND,39.99,39.99,39.99,29
PENNY,39.99,39.99,39.99,2
SELGROS,44.39,44.39,44.39,5
CARREFOUR,44.77,42.75,46.49,45
MEGA IMAGE SRL,48.76,48.69,49.99,123

network,price_date,avg_price
AUCHAN,14.04.2026 04:00,39.99
CARREFOUR,14.04.2026 04:00,39.54
KAUFLAND,14.04.2026 04:00,39.99
MEGA IMAGE SRL,14.04.2026 04:00,47.79
PROFI,14.04.2026 04:00,39.99
SELGROS,14.04.2026 04:00,44.39
CARREFOUR,15.04.2026 04:00,41.52
KAUFLAND,15.04.2026 04:00,39.99
MEGA IMAGE SRL,15.04.2026 04:00,47.79
PROFI,15.04.2026 04:00,39.24
AUCHAN,15.04.2026 20:00,39.99
CARREFOUR,15.04.2026 20:00,42.79
CORA,15.04.2026 20:00,30.49
KAUFLAND,15.04.2026 20:00,39.99
MEGA IMAGE SRL,15.04.2026 20:00,47.68
PENNY,15.04.2026 20:00,39.99
PROFI,15.04.2026 20:00,39.61
SELGROS,15.04.2026 20:00,44.39
AUCHAN,17.04.2026 04:00,39.99
CARREFOUR,17.04.2026 04:00,42.79
CORA,17.04.2026 04:00,30.49
KAUFLAND,17.04.2026 04:00,39.99
MEGA IMAGE SRL,17.04.2026 04:00,47.7
PENNY,17.04.2026 04:00,39.99
PROFI,17.04.2026 04:00,39.61
SELGROS,17.04.2026 04:00,44.39
AUCHAN,17.04.2026 20:00,39.99
CARREFOUR,17.04.2026 20:00,44.83
CORA,17.04.2026 20:00,30.49
KAUFLAND,17.04.2026 20:00,39.99
MEGA IMAGE SRL,17.04.2026 20:00,47.67
PENNY,17.04.2026 20:00,39.99
PROFI,17.04.2026 20:00,39.59
SELGROS,17.04.2026 20:00,44.39
AUCHAN,18.04.2026 20:00,39.99
CARREFOUR,18.04.2026 20:00,44.83
CORA,18.04.2026 20:00,30.49
KAUFLAND,18.04.2026 20:00,39.99
MEGA IMAGE SRL,18.04.2026 20:00,47.68
PENNY,18.04.2026 20:00,39.99
PROFI,18.04.2026 20:00,39.61
SELGROS,18.04.2026 20:00,44.39
AUCHAN,19.04.2026 20:00,39.99
CARREFOUR,19.04.2026 20:00,44.83
CORA,19.04.2026 20:00,30.49
KAUFLAND,19.04.2026 20:00,39.99
MEGA IMAGE SRL,19.04.2026 20:00,47.7
PENNY,19.04.2026 20:00,39.99
PROFI,19.04.2026 20:00,39.59
SELGROS,19.04.2026 20:00,44.39
AUCHAN,20.04.2026 20:00,39.99
CARREFOUR,20.04.2026 20:00,44.8
CORA,20.04.2026 20:00,30.49
KAUFLAND,20.04.2026 20:00,39.99
MEGA IMAGE SRL,20.04.2026 20:00,47.68
PENNY,20.04.2026 20:00,39.99
PROFI,20.04.2026 20:00,39.58
SELGROS,20.04.2026 20:00,44.39
AUCHAN,21.04.2026 20:00,39.99
CARREFOUR,21.04.2026 20:00,44.8
CORA,21.04.2026 20:00,30.49
KAUFLAND,21.04.2026 20:00,39.99
MEGA IMAGE SRL,21.04.2026 20:00,47.68
PENNY,21.04.2026 20:00,39.99
PROFI,21.04.2026 20:00,39.58
SELGROS,21.04.2026 20:00,44.39
AUCHAN,22.04.2026 20:00,39.99
CARREFOUR,22.04.2026 20:00,44.8
CORA,22.04.2026 20:00,30.49
KAUFLAND,22.04.2026 20:00,39.99
MEGA IMAGE SRL,22.04.2026 20:00,48.51
PENNY,22.04.2026 20:00,39.99
PROFI,22.04.2026 20:00,39.59
SELGROS,22.04.2026 20:00,44.39
AUCHAN,23.04.2026 20:00,39.99
CARREFOUR,23.04.2026 20:00,44.8
CORA,23.04.2026 20:00,30.49
KAUFLAND,23.04.2026 20:00,39.99
MEGA IMAGE SRL,23.04.2026 20:00,48.75
PENNY,23.04.2026 20:00,39.99
PROFI,23.04.2026 20:00,39.61
SELGROS,23.04.2026 20:00,44.39
AUCHAN,24.04.2026 20:00,39.99
CARREFOUR,24.04.2026 20:00,44.77
CORA,24.04.2026 20:00,30.49
KAUFLAND,24.04.2026 20:00,39.99
MEGA IMAGE SRL,24.04.2026 20:00,48.76
PENNY,24.04.2026 20:00,39.99
PROFI,24.04.2026 20:00,39.57
SELGROS,24.04.2026 20:00,44.39
