network,avg_price,min_price,max_price,stores
PROFI,17.86,15.99,20.09,3
CORA,24.39,24.39,24.39,4
AUCHAN,27.59,27.59,27.59,5
KAUFLAND,28.95,28.95,28.95,25
CARREFOUR,29.25,28.89,33.99,37

network,price_date,avg_price
AUCHAN,14.04.2026 04:00,27.59
CARREFOUR,14.04.2026 04:00,29.79
KAUFLAND,14.04.2026 04:00,28.95
CARREFOUR,15.04.2026 04:00,29.04
KAUFLAND,15.04.2026 04:00,28.95
AUCHAN,15.04.2026 20:00,27.59
CARREFOUR,15.04.2026 20:00,29.24
CORA,15.04.2026 20:00,24.39
KAUFLAND,15.04.2026 20:00,28.95
PROFI,15.04.2026 20:00,17.86
AUCHAN,17.04.2026 04:00,27.59
CARREFOUR,17.04.2026 04:00,29.24
CORA,17.04.2026 04:00,24.39
KAUFLAND,17.04.2026 04:00,28.95
PROFI,17.04.2026 04:00,17.86
AUCHAN,17.04.2026 20:00,27.59
CARREFOUR,17.04.2026 20:00,29.25
CORA,17.04.2026 20:00,24.39
KAUFLAND,17.04.2026 20:00,28.95
PROFI,17.04.2026 20:00,17.86
