network,avg_price,min_price,max_price,stores
SUPECO,3.78,3.75,4.49,22
AUCHAN,3.79,3.79,3.79,8
CORA,3.93,3.69,3.99,5
KAUFLAND,4.49,4.49,4.49,165
MEGA IMAGE SRL,4.98,4.89,5.68,79
PROFI,5.11,4.69,5.45,727
CARREFOUR,5.49,5.09,6.19,254

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,5.32
KAUFLAND,13.04.2026 20:00,4.49
PROFI,13.04.2026 20:00,5.1
AUCHAN,14.04.2026 04:00,3.79
CARREFOUR,14.04.2026 04:00,5.44
CORA,14.04.2026 04:00,3.92
KAUFLAND,14.04.2026 04:00,4.49
MEGA IMAGE SRL,14.04.2026 04:00,4.96
PROFI,14.04.2026 04:00,5.14
SUPECO,14.04.2026 04:00,3.75
AUCHAN,15.04.2026 04:00,3.79
CARREFOUR,15.04.2026 04:00,5.49
CORA,15.04.2026 04:00,3.95
KAUFLAND,15.04.2026 04:00,4.49
MEGA IMAGE SRL,15.04.2026 04:00,4.98
PROFI,15.04.2026 04:00,5.12
SUPECO,15.04.2026 04:00,3.78
CARREFOUR,15.04.2026 20:00,5.48
CORA,15.04.2026 20:00,3.99
KAUFLAND,15.04.2026 20:00,4.49
MEGA IMAGE SRL,15.04.2026 20:00,4.96
PROFI,15.04.2026 20:00,5.14
SUPECO,15.04.2026 20:00,3.75
AUCHAN,16.04.2026 04:00,3.79
CARREFOUR,16.04.2026 04:00,5.48
CORA,16.04.2026 04:00,3.99
KAUFLAND,16.04.2026 04:00,4.49
MEGA IMAGE SRL,16.04.2026 04:00,4.98
PROFI,16.04.2026 04:00,5.17
SUPECO,16.04.2026 04:00,3.75
AUCHAN,16.04.2026 20:00,3.79
CARREFOUR,16.04.2026 20:00,5.44
CORA,16.04.2026 20:00,3.99
KAUFLAND,16.04.2026 20:00,4.49
MEGA IMAGE SRL,16.04.2026 20:00,4.98
PROFI,16.04.2026 20:00,5.13
AUCHAN,17.04.2026 04:00,3.79
CARREFOUR,17.04.2026 04:00,5.49
CORA,17.04.2026 04:00,3.93
KAUFLAND,17.04.2026 04:00,4.49
MEGA IMAGE SRL,17.04.2026 04:00,4.98
PROFI,17.04.2026 04:00,5.11
SUPECO,17.04.2026 04:00,3.78
