network,avg_price,min_price,max_price,stores
CORA,11.99,11.99,11.99,1
MEGA IMAGE SRL,13.49,13.49,13.49,26
AUCHAN,13.99,13.99,13.99,1
CARREFOUR,14.78,13.99,14.99,7

network,price_date,avg_price
AUCHAN,14.04.2026 04:00,13.86
CARREFOUR,14.04.2026 04:00,14.55
MEGA IMAGE SRL,14.04.2026 04:00,13.49
AUCHAN,15.04.2026 04:00,13.81
CARREFOUR,15.04.2026 04:00,14.57
CORA,15.04.2026 04:00,11.99
MEGA IMAGE SRL,15.04.2026 04:00,13.49
AUCHAN,15.04.2026 20:00,13.19
CARREFOUR,15.04.2026 20:00,13.99
MEGA IMAGE SRL,15.04.2026 20:00,13.49
AUCHAN,16.04.2026 04:00,13.99
CARREFOUR,16.04.2026 04:00,14.78
CORA,16.04.2026 04:00,11.99
MEGA IMAGE SRL,16.04.2026 04:00,13.49
