network,avg_price,min_price,max_price,stores
CORA,49.79,49.79,49.79,4
AUCHAN,50.23,49.38,54.13,11
SELGROS,56.0,56.0,56.0,5
MEGA IMAGE SRL,56.18,56.18,56.18,123
KAUFLAND,57.99,57.99,57.99,25
CARREFOUR,59.96,59.25,63.99,52

network,price_date,avg_price
AUCHAN,14.04.2026 04:00,49.38
CARREFOUR,14.04.2026 04:00,59.9
KAUFLAND,14.04.2026 04:00,57.99
SELGROS,14.04.2026 04:00,56.0
AUCHAN,15.04.2026 04:00,49.38
CARREFOUR,15.04.2026 04:00,59.25
KAUFLAND,15.04.2026 04:00,57.99
MEGA IMAGE SRL,15.04.2026 04:00,56.18
AUCHAN,15.04.2026 20:00,50.23
CARREFOUR,15.04.2026 20:00,59.95
CORA,15.04.2026 20:00,49.79
KAUFLAND,15.04.2026 20:00,57.99
MEGA IMAGE SRL,15.04.2026 20:00,56.18
SELGROS,15.04.2026 20:00,56.0
AUCHAN,17.04.2026 04:00,50.23
CARREFOUR,17.04.2026 04:00,59.95
CORA,17.04.2026 04:00,49.79
KAUFLAND,17.04.2026 04:00,57.99
MEGA IMAGE SRL,17.04.2026 04:00,56.18
SELGROS,17.04.2026 04:00,56.0
AUCHAN,17.04.2026 20:00,50.23
CARREFOUR,17.04.2026 20:00,59.96
CORA,17.04.2026 20:00,49.79
KAUFLAND,17.04.2026 20:00,57.99
MEGA IMAGE SRL,17.04.2026 20:00,56.18
SELGROS,17.04.2026 20:00,56.0
AUCHAN,18.04.2026 20:00,50.23
CARREFOUR,18.04.2026 20:00,59.96
CORA,18.04.2026 20:00,49.79
KAUFLAND,18.04.2026 20:00,57.99
MEGA IMAGE SRL,18.04.2026 20:00,56.18
SELGROS,18.04.2026 20:00,56.0
