network,avg_price,min_price,max_price,stores
PROFI,3.86,2.25,6.49,27
SELGROS,5.28,5.28,5.28,17
AUCHAN,6.29,6.29,6.29,3
CORA,6.73,6.49,6.79,5
CARREFOUR,6.97,6.29,7.59,105
KAUFLAND,6.99,6.99,6.99,72

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,6.61
KAUFLAND,13.04.2026 20:00,6.99
SELGROS,13.04.2026 20:00,5.28
AUCHAN,14.04.2026 04:00,6.29
CARREFOUR,14.04.2026 04:00,6.96
CORA,14.04.2026 04:00,6.71
KAUFLAND,14.04.2026 04:00,6.99
PROFI,14.04.2026 04:00,3.73
SELGROS,14.04.2026 04:00,5.28
AUCHAN,15.04.2026 04:00,6.29
CARREFOUR,15.04.2026 04:00,6.96
CORA,15.04.2026 04:00,6.75
KAUFLAND,15.04.2026 04:00,6.99
PROFI,15.04.2026 04:00,4.03
SELGROS,15.04.2026 04:00,5.28
CARREFOUR,15.04.2026 20:00,6.93
CORA,15.04.2026 20:00,6.79
KAUFLAND,15.04.2026 20:00,6.99
PROFI,15.04.2026 20:00,3.4
SELGROS,15.04.2026 20:00,5.28
CARREFOUR,16.04.2026 04:00,7.04
CORA,16.04.2026 04:00,6.79
KAUFLAND,16.04.2026 04:00,6.99
PROFI,16.04.2026 04:00,3.14
SELGROS,16.04.2026 04:00,5.28
AUCHAN,16.04.2026 20:00,6.29
CARREFOUR,16.04.2026 20:00,7.01
CORA,16.04.2026 20:00,6.79
KAUFLAND,16.04.2026 20:00,6.99
PROFI,16.04.2026 20:00,3.29
SELGROS,16.04.2026 20:00,5.28
AUCHAN,17.04.2026 04:00,6.29
CARREFOUR,17.04.2026 04:00,6.97
CORA,17.04.2026 04:00,6.73
KAUFLAND,17.04.2026 04:00,6.99
PROFI,17.04.2026 04:00,3.86
SELGROS,17.04.2026 04:00,5.28
