network,avg_price,min_price,max_price,stores
CORA,4.39,4.39,4.39,1
KAUFLAND,4.99,4.99,4.99,8
CARREFOUR,5.22,4.49,5.59,7
PROFI,5.23,4.99,5.45,21

network,price_date,avg_price
AUCHAN,14.04.2026 04:00,4.99
CARREFOUR,14.04.2026 04:00,4.84
KAUFLAND,14.04.2026 04:00,4.99
PROFI,14.04.2026 04:00,5.22
AUCHAN,15.04.2026 04:00,4.99
CARREFOUR,15.04.2026 04:00,5.13
CORA,15.04.2026 04:00,4.39
KAUFLAND,15.04.2026 04:00,4.99
PROFI,15.04.2026 04:00,5.19
SELGROS,15.04.2026 04:00,4.47
CARREFOUR,15.04.2026 20:00,5.12
KAUFLAND,15.04.2026 20:00,4.99
PROFI,15.04.2026 20:00,5.17
CARREFOUR,16.04.2026 04:00,5.22
CORA,16.04.2026 04:00,4.39
KAUFLAND,16.04.2026 04:00,4.99
PROFI,16.04.2026 04:00,5.23
