network,avg_price,min_price,max_price,stores
PENNY,62.99,62.99,62.99,2
CORA,99.9,99.9,99.9,5
AUCHAN,102.22,86.99,136.29,9
SELGROS,121.79,121.79,121.79,17
SUPECO,129.99,129.99,129.99,23
CARREFOUR,134.75,108.09,177.9,166
MEGA IMAGE SRL,141.09,141.09,141.09,87
PROFI,148.34,40.6,158.99,496

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,125.24
PROFI,13.04.2026 20:00,149.61
SELGROS,13.04.2026 20:00,121.79
AUCHAN,14.04.2026 04:00,95.69
CARREFOUR,14.04.2026 04:00,132.86
CORA,14.04.2026 04:00,99.9
MEGA IMAGE SRL,14.04.2026 04:00,141.09
PROFI,14.04.2026 04:00,149.75
SELGROS,14.04.2026 04:00,121.79
SUPECO,14.04.2026 04:00,129.99
AUCHAN,15.04.2026 04:00,102.22
CARREFOUR,15.04.2026 04:00,134.69
CORA,15.04.2026 04:00,99.9
MEGA IMAGE SRL,15.04.2026 04:00,141.19
PENNY,15.04.2026 04:00,62.99
PROFI,15.04.2026 04:00,148.49
SELGROS,15.04.2026 04:00,121.79
SUPECO,15.04.2026 04:00,129.99
AUCHAN,15.04.2026 20:00,103.99
CARREFOUR,15.04.2026 20:00,133.24
CORA,15.04.2026 20:00,99.9
MEGA IMAGE SRL,15.04.2026 20:00,141.09
PROFI,15.04.2026 20:00,150.18
SELGROS,15.04.2026 20:00,121.79
SUPECO,15.04.2026 20:00,129.99
AUCHAN,16.04.2026 04:00,136.29
CARREFOUR,16.04.2026 04:00,138.32
CORA,16.04.2026 04:00,99.9
MEGA IMAGE SRL,16.04.2026 04:00,141.09
PROFI,16.04.2026 04:00,150.16
SELGROS,16.04.2026 04:00,121.79
SUPECO,16.04.2026 04:00,129.99
CARREFOUR,16.04.2026 20:00,135.5
CORA,16.04.2026 20:00,99.9
MEGA IMAGE SRL,16.04.2026 20:00,141.09
PROFI,16.04.2026 20:00,148.65
SELGROS,16.04.2026 20:00,121.79
AUCHAN,17.04.2026 04:00,102.22
CARREFOUR,17.04.2026 04:00,134.75
CORA,17.04.2026 04:00,99.9
MEGA IMAGE SRL,17.04.2026 04:00,141.09
PENNY,17.04.2026 04:00,62.99
PROFI,17.04.2026 04:00,148.34
SELGROS,17.04.2026 04:00,121.79
SUPECO,17.04.2026 04:00,129.99
