network,avg_price,min_price,max_price,stores
SELGROS,15.7,15.7,15.7,17
PENNY,16.25,16.25,16.25,258
CORA,18.93,18.29,19.09,5
AUCHAN,19.38,13.99,21.99,22
KAUFLAND,20.35,20.35,20.35,167
PROFI,21.4,16.79,22.25,644
MEGA IMAGE SRL,21.61,18.28,22.69,263
CARREFOUR,22.08,21.49,25.49,274

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,22.16
KAUFLAND,13.04.2026 20:00,20.35
PENNY,13.04.2026 20:00,20.35
PROFI,13.04.2026 20:00,21.23
SELGROS,13.04.2026 20:00,15.7
AUCHAN,15.04.2026 04:00,20.74
CARREFOUR,15.04.2026 04:00,21.74
CORA,15.04.2026 04:00,19.09
KAUFLAND,15.04.2026 04:00,20.35
MEGA IMAGE SRL,15.04.2026 04:00,21.04
PENNY,15.04.2026 04:00,20.35
PROFI,15.04.2026 04:00,21.4
SELGROS,15.04.2026 04:00,15.7
AUCHAN,15.04.2026 20:00,19.19
CARREFOUR,15.04.2026 20:00,22.15
CORA,15.04.2026 20:00,18.96
KAUFLAND,15.04.2026 20:00,20.35
MEGA IMAGE SRL,15.04.2026 20:00,21.38
PENNY,15.04.2026 20:00,16.25
PROFI,15.04.2026 20:00,21.46
SELGROS,15.04.2026 20:00,15.7
CARREFOUR,16.04.2026 04:00,22.55
KAUFLAND,16.04.2026 04:00,20.35
MEGA IMAGE SRL,16.04.2026 04:00,21.09
PENNY,16.04.2026 04:00,16.25
PROFI,16.04.2026 04:00,21.65
SELGROS,16.04.2026 04:00,15.7
AUCHAN,16.04.2026 20:00,20.66
CARREFOUR,16.04.2026 20:00,21.88
CORA,16.04.2026 20:00,19.09
KAUFLAND,16.04.2026 20:00,20.35
MEGA IMAGE SRL,16.04.2026 20:00,21.19
PENNY,16.04.2026 20:00,16.25
PROFI,16.04.2026 20:00,21.46
SELGROS,16.04.2026 20:00,15.7
AUCHAN,17.04.2026 04:00,19.38
CARREFOUR,17.04.2026 04:00,22.08
CORA,17.04.2026 04:00,18.93
KAUFLAND,17.04.2026 04:00,20.35
MEGA IMAGE SRL,17.04.2026 04:00,21.61
PENNY,17.04.2026 04:00,16.25
PROFI,17.04.2026 04:00,21.4
SELGROS,17.04.2026 04:00,15.7
