network,avg_price,min_price,max_price,stores
KAUFLAND,44.99,44.99,44.99,167
AUCHAN,45.51,43.99,45.89,10
SELGROS,45.95,45.95,45.95,17
MEGA IMAGE SRL,54.05,53.99,63.89,160
PROFI,55.66,50.99,58.29,839

network,price_date,avg_price
KAUFLAND,13.04.2026 20:00,44.99
PROFI,13.04.2026 20:00,55.82
SELGROS,13.04.2026 20:00,45.95
KAUFLAND,15.04.2026 04:00,44.99
MEGA IMAGE SRL,15.04.2026 04:00,53.99
PROFI,15.04.2026 04:00,56.25
SELGROS,15.04.2026 04:00,45.95
AUCHAN,15.04.2026 20:00,45.51
KAUFLAND,15.04.2026 20:00,44.99
MEGA IMAGE SRL,15.04.2026 20:00,54.05
PROFI,15.04.2026 20:00,55.83
SELGROS,15.04.2026 20:00,45.95
KAUFLAND,16.04.2026 04:00,44.99
MEGA IMAGE SRL,16.04.2026 04:00,53.99
PROFI,16.04.2026 04:00,56.31
SELGROS,16.04.2026 04:00,45.95
AUCHAN,16.04.2026 20:00,45.89
KAUFLAND,16.04.2026 20:00,44.99
MEGA IMAGE SRL,16.04.2026 20:00,53.99
PROFI,16.04.2026 20:00,55.31
SELGROS,16.04.2026 20:00,45.95
AUCHAN,17.04.2026 04:00,45.51
KAUFLAND,17.04.2026 04:00,44.99
MEGA IMAGE SRL,17.04.2026 04:00,54.05
PROFI,17.04.2026 04:00,55.66
SELGROS,17.04.2026 04:00,45.95
