network,avg_price,min_price,max_price,stores
CARREFOUR,10.16,8.99,10.19,35
KAUFLAND,10.19,10.19,10.19,35
PROFI,10.19,10.19,10.19,17
MEGA IMAGE SRL,11.18,10.99,11.89,42

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,10.19
KAUFLAND,13.04.2026 20:00,10.19
CARREFOUR,15.04.2026 04:00,10.19
CARREFOUR,15.04.2026 20:00,10.15
KAUFLAND,15.04.2026 20:00,10.19
MEGA IMAGE SRL,15.04.2026 20:00,11.15
PROFI,15.04.2026 20:00,10.19
CARREFOUR,16.04.2026 04:00,10.11
MEGA IMAGE SRL,16.04.2026 04:00,11.21
PROFI,16.04.2026 04:00,10.19
CARREFOUR,16.04.2026 20:00,10.19
CARREFOUR,17.04.2026 04:00,10.16
KAUFLAND,17.04.2026 04:00,10.19
MEGA IMAGE SRL,17.04.2026 04:00,11.18
PROFI,17.04.2026 04:00,10.19
