network,avg_price,min_price,max_price,stores
CORA,25.29,25.29,25.29,5
SELGROS,25.29,25.29,25.29,17
PROFI,27.21,16.39,29.69,319
CARREFOUR,27.32,26.49,28.05,99
AUCHAN,27.49,27.49,27.49,11

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,27.32
PROFI,13.04.2026 20:00,27.9
SELGROS,13.04.2026 20:00,25.29
AUCHAN,15.04.2026 04:00,27.49
CARREFOUR,15.04.2026 04:00,27.63
CORA,15.04.2026 04:00,25.29
PROFI,15.04.2026 04:00,27.65
SELGROS,15.04.2026 04:00,25.29
AUCHAN,15.04.2026 20:00,27.49
CARREFOUR,15.04.2026 20:00,27.42
CORA,15.04.2026 20:00,25.29
PROFI,15.04.2026 20:00,27.4
SELGROS,15.04.2026 20:00,25.29
CARREFOUR,16.04.2026 04:00,27.6
PROFI,16.04.2026 04:00,27.5
SELGROS,16.04.2026 04:00,25.29
AUCHAN,16.04.2026 20:00,27.49
CARREFOUR,16.04.2026 20:00,27.75
CORA,16.04.2026 20:00,25.29
PROFI,16.04.2026 20:00,27.53
SELGROS,16.04.2026 20:00,25.29
AUCHAN,17.04.2026 04:00,27.49
CARREFOUR,17.04.2026 04:00,27.32
CORA,17.04.2026 04:00,25.29
PROFI,17.04.2026 04:00,27.21
SELGROS,17.04.2026 04:00,25.29
