network,avg_price,min_price,max_price,stores
PROFI,30.93,17.59,40.59,8
SELGROS,32.02,32.02,32.02,17
MEGA IMAGE SRL,40.15,33.01,40.72,263
CARREFOUR,42.32,39.49,49.29,208
CORA,46.09,46.09,46.09,5

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,41.24
SELGROS,13.04.2026 20:00,32.02
CARREFOUR,15.04.2026 04:00,40.78
CORA,15.04.2026 04:00,46.09
MEGA IMAGE SRL,15.04.2026 04:00,40.17
SELGROS,15.04.2026 04:00,32.02
CARREFOUR,15.04.2026 20:00,42.34
CORA,15.04.2026 20:00,46.09
MEGA IMAGE SRL,15.04.2026 20:00,40.08
PROFI,15.04.2026 20:00,29.93
SELGROS,15.04.2026 20:00,32.02
CARREFOUR,16.04.2026 04:00,42.53
MEGA IMAGE SRL,16.04.2026 04:00,39.94
SELGROS,16.04.2026 04:00,32.02
CARREFOUR,16.04.2026 20:00,41.69
CORA,16.04.2026 20:00,46.09
MEGA IMAGE SRL,16.04.2026 20:00,39.99
SELGROS,16.04.2026 20:00,32.02
CARREFOUR,17.04.2026 04:00,42.32
CORA,17.04.2026 04:00,46.09
MEGA IMAGE SRL,17.04.2026 04:00,40.15
PROFI,17.04.2026 04:00,30.93
SELGROS,17.04.2026 04:00,32.02
