network,avg_price,min_price,max_price,stores
CORA,7.29,4.09,12.09,5
CARREFOUR,9.0,3.99,14.55,276
PROFI,10.02,4.49,14.99,839
SELGROS,11.3,11.3,11.3,17
SUPECO,11.79,11.79,11.79,19
MEGA IMAGE SRL,12.3,12.29,13.29,100
KAUFLAND,12.49,12.49,12.49,167
AUCHAN,12.58,11.19,14.59,27

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,7.27
KAUFLAND,13.04.2026 20:00,12.49
PROFI,13.04.2026 20:00,10.82
SELGROS,13.04.2026 20:00,11.3
CARREFOUR,15.04.2026 04:00,7.27
CORA,15.04.2026 04:00,12.09
KAUFLAND,15.04.2026 04:00,12.49
MEGA IMAGE SRL,15.04.2026 04:00,12.29
PROFI,15.04.2026 04:00,11.26
SELGROS,15.04.2026 04:00,11.3
SUPECO,15.04.2026 04:00,11.79
AUCHAN,15.04.2026 20:00,12.53
CARREFOUR,15.04.2026 20:00,9.04
CORA,15.04.2026 20:00,9.36
KAUFLAND,15.04.2026 20:00,12.49
MEGA IMAGE SRL,15.04.2026 20:00,12.3
PROFI,15.04.2026 20:00,10.49
SELGROS,15.04.2026 20:00,11.3
SUPECO,15.04.2026 20:00,11.79
CARREFOUR,16.04.2026 04:00,9.98
KAUFLAND,16.04.2026 04:00,12.49
MEGA IMAGE SRL,16.04.2026 04:00,12.29
PROFI,16.04.2026 04:00,12.06
SELGROS,16.04.2026 04:00,11.3
SUPECO,16.04.2026 04:00,11.79
AUCHAN,16.04.2026 20:00,12.89
CARREFOUR,16.04.2026 20:00,7.88
CORA,16.04.2026 20:00,6.76
KAUFLAND,16.04.2026 20:00,12.49
MEGA IMAGE SRL,16.04.2026 20:00,12.29
PROFI,16.04.2026 20:00,9.87
SELGROS,16.04.2026 20:00,11.3
AUCHAN,17.04.2026 04:00,12.58
CARREFOUR,17.04.2026 04:00,9.0
CORA,17.04.2026 04:00,7.29
KAUFLAND,17.04.2026 04:00,12.49
MEGA IMAGE SRL,17.04.2026 04:00,12.3
PROFI,17.04.2026 04:00,10.02
SELGROS,17.04.2026 04:00,11.3
SUPECO,17.04.2026 04:00,11.79
