network,avg_price,min_price,max_price,stores
PROFI,1.46,0.96,2.29,38
CORA,2.57,2.49,2.59,5
AUCHAN,2.64,2.59,2.69,11
SELGROS,3.11,3.11,3.11,16

network,price_date,avg_price
SELGROS,13.04.2026 20:00,3.11
AUCHAN,15.04.2026 04:00,2.59
CORA,15.04.2026 04:00,2.59
SELGROS,15.04.2026 04:00,3.11
AUCHAN,15.04.2026 20:00,2.63
CORA,15.04.2026 20:00,2.57
PROFI,15.04.2026 20:00,1.46
SELGROS,15.04.2026 20:00,3.11
SELGROS,16.04.2026 04:00,3.11
AUCHAN,16.04.2026 20:00,2.59
CORA,16.04.2026 20:00,2.59
SELGROS,16.04.2026 20:00,3.11
AUCHAN,17.04.2026 04:00,2.64
CORA,17.04.2026 04:00,2.57
PROFI,17.04.2026 04:00,1.46
SELGROS,17.04.2026 04:00,3.11
