network,avg_price,min_price,max_price,stores
SELGROS,13.6,13.6,13.6,17
PROFI,15.43,9.19,16.75,738
CARREFOUR,16.49,16.49,16.49,27
CORA,17.19,15.99,17.49,5

network,price_date,avg_price
PROFI,13.04.2026 20:00,15.68
SELGROS,13.04.2026 20:00,13.6
CARREFOUR,15.04.2026 04:00,16.56
CORA,15.04.2026 04:00,17.49
PROFI,15.04.2026 04:00,15.73
SELGROS,15.04.2026 04:00,13.6
CARREFOUR,15.04.2026 20:00,16.5
CORA,15.04.2026 20:00,17.24
PROFI,15.04.2026 20:00,15.5
SELGROS,15.04.2026 20:00,13.6
CARREFOUR,16.04.2026 04:00,16.59
PROFI,16.04.2026 04:00,15.66
SELGROS,16.04.2026 04:00,13.6
CARREFOUR,16.04.2026 20:00,16.59
CORA,16.04.2026 20:00,17.49
PROFI,16.04.2026 20:00,15.56
SELGROS,16.04.2026 20:00,13.6
CARREFOUR,17.04.2026 04:00,16.49
CORA,17.04.2026 04:00,17.19
PROFI,17.04.2026 04:00,15.43
SELGROS,17.04.2026 04:00,13.6
