network,avg_price,min_price,max_price,stores
PENNY,19.99,19.99,19.99,255
CORA,22.53,21.89,22.69,5
AUCHAN,23.99,23.99,23.99,23
CARREFOUR,24.0,23.99,24.45,35

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,23.99
PENNY,13.04.2026 20:00,19.99
AUCHAN,15.04.2026 04:00,23.99
CARREFOUR,15.04.2026 04:00,23.99
CORA,15.04.2026 04:00,22.69
PENNY,15.04.2026 04:00,19.99
AUCHAN,15.04.2026 20:00,23.99
CARREFOUR,15.04.2026 20:00,24.07
CORA,15.04.2026 20:00,22.56
PENNY,15.04.2026 20:00,19.99
CARREFOUR,16.04.2026 04:00,24.49
PENNY,16.04.2026 04:00,19.99
AUCHAN,16.04.2026 20:00,23.99
CARREFOUR,16.04.2026 20:00,24.32
CORA,16.04.2026 20:00,22.69
PENNY,16.04.2026 20:00,19.99
AUCHAN,17.04.2026 04:00,23.99
CARREFOUR,17.04.2026 04:00,24.0
CORA,17.04.2026 04:00,22.53
PENNY,17.04.2026 04:00,19.99
