network,avg_price,min_price,max_price,stores
MEGA IMAGE SRL,0.69,0.69,0.69,86
AUCHAN,0.75,0.75,0.8,24
CARREFOUR,0.86,0.73,0.95,247
KAUFLAND,0.95,0.95,0.95,167
PROFI,0.95,0.95,0.95,846
CORA,32.75,31.79,32.99,5

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,0.85
KAUFLAND,13.04.2026 20:00,0.95
PROFI,13.04.2026 20:00,0.95
AUCHAN,15.04.2026 04:00,0.75
CARREFOUR,15.04.2026 04:00,0.83
CORA,15.04.2026 04:00,32.99
KAUFLAND,15.04.2026 04:00,0.95
MEGA IMAGE SRL,15.04.2026 04:00,0.69
PROFI,15.04.2026 04:00,0.95
AUCHAN,15.04.2026 20:00,0.75
CARREFOUR,15.04.2026 20:00,0.86
CORA,15.04.2026 20:00,32.79
KAUFLAND,15.04.2026 20:00,0.95
MEGA IMAGE SRL,15.04.2026 20:00,0.69
PROFI,15.04.2026 20:00,0.95
CARREFOUR,16.04.2026 04:00,0.89
KAUFLAND,16.04.2026 04:00,0.95
MEGA IMAGE SRL,16.04.2026 04:00,0.69
PROFI,16.04.2026 04:00,0.95
AUCHAN,16.04.2026 20:00,0.75
CARREFOUR,16.04.2026 20:00,0.85
CORA,16.04.2026 20:00,32.99
KAUFLAND,16.04.2026 20:00,0.95
MEGA IMAGE SRL,16.04.2026 20:00,0.69
PROFI,16.04.2026 20:00,0.95
AUCHAN,17.04.2026 04:00,0.75
CARREFOUR,17.04.2026 04:00,0.86
CORA,17.04.2026 04:00,32.75
KAUFLAND,17.04.2026 04:00,0.95
MEGA IMAGE SRL,17.04.2026 04:00,0.69
PROFI,17.04.2026 04:00,0.95
