network,avg_price,min_price,max_price,stores
CORA,6.89,6.89,6.89,5
CARREFOUR,6.99,6.99,6.99,37
PROFI,7.12,4.99,7.55,282
KAUFLAND,7.49,7.49,7.49,165
SELGROS,8.04,8.04,8.04,15

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,6.99
KAUFLAND,13.04.2026 20:00,7.49
PROFI,13.04.2026 20:00,7.31
SELGROS,13.04.2026 20:00,8.04
CARREFOUR,15.04.2026 04:00,6.99
CORA,15.04.2026 04:00,6.89
KAUFLAND,15.04.2026 04:00,7.49
PROFI,15.04.2026 04:00,7.28
SELGROS,15.04.2026 04:00,8.04
CARREFOUR,15.04.2026 20:00,6.99
CORA,15.04.2026 20:00,6.89
KAUFLAND,15.04.2026 20:00,7.49
PROFI,15.04.2026 20:00,7.14
SELGROS,15.04.2026 20:00,8.04
CARREFOUR,16.04.2026 04:00,6.99
KAUFLAND,16.04.2026 04:00,7.49
PROFI,16.04.2026 04:00,7.21
SELGROS,16.04.2026 04:00,8.04
CARREFOUR,16.04.2026 20:00,6.99
CORA,16.04.2026 20:00,6.89
KAUFLAND,16.04.2026 20:00,7.49
PROFI,16.04.2026 20:00,7.16
SELGROS,16.04.2026 20:00,8.04
CARREFOUR,17.04.2026 04:00,6.99
CORA,17.04.2026 04:00,6.89
KAUFLAND,17.04.2026 04:00,7.49
PROFI,17.04.2026 04:00,7.12
SELGROS,17.04.2026 04:00,8.04
