network,avg_price,min_price,max_price,stores
KAUFLAND,22.85,22.85,22.85,5
PROFI,22.99,22.99,22.99,1
CARREFOUR,24.07,20.49,27.49,6

network,price_date,avg_price
CARREFOUR,15.04.2026 04:00,22.48
CORA,15.04.2026 04:00,19.39
KAUFLAND,15.04.2026 04:00,22.85
PROFI,15.04.2026 04:00,22.67
SELGROS,15.04.2026 04:00,24.62
AUCHAN,15.04.2026 20:00,20.01
CARREFOUR,15.04.2026 20:00,23.72
CORA,15.04.2026 20:00,19.39
KAUFLAND,15.04.2026 20:00,22.85
PROFI,15.04.2026 20:00,22.99
CARREFOUR,16.04.2026 04:00,24.07
KAUFLAND,16.04.2026 04:00,22.85
PROFI,16.04.2026 04:00,22.99
