network,avg_price,min_price,max_price,stores
PENNY,26.23,26.23,26.23,1
KAUFLAND,26.37,26.37,26.37,5
CARREFOUR,27.84,26.08,29.98,6
PROFI,28.86,28.86,28.86,3

network,price_date,avg_price
CARREFOUR,15.04.2026 04:00,27.34
CORA,15.04.2026 04:00,25.78
KAUFLAND,15.04.2026 04:00,26.37
PENNY,15.04.2026 04:00,26.23
PROFI,15.04.2026 04:00,28.86
SELGROS,15.04.2026 04:00,27.64
AUCHAN,15.04.2026 20:00,25.75
CARREFOUR,15.04.2026 20:00,27.68
CORA,15.04.2026 20:00,25.78
KAUFLAND,15.04.2026 20:00,26.37
PENNY,15.04.2026 20:00,26.23
PROFI,15.04.2026 20:00,28.68
CARREFOUR,16.04.2026 04:00,27.84
KAUFLAND,16.04.2026 04:00,26.37
PENNY,16.04.2026 04:00,26.23
PROFI,16.04.2026 04:00,28.86
