network,avg_price,min_price,max_price,stores
CORA,4.59,4.59,4.59,5
AUCHAN,4.7,4.35,4.79,5
CARREFOUR,5.3,4.79,6.29,115

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,4.89
CARREFOUR,15.04.2026 04:00,4.85
CORA,15.04.2026 04:00,4.59
AUCHAN,15.04.2026 20:00,4.64
CARREFOUR,15.04.2026 20:00,5.3
CORA,15.04.2026 20:00,4.59
CARREFOUR,16.04.2026 04:00,5.4
AUCHAN,16.04.2026 20:00,4.35
CARREFOUR,16.04.2026 20:00,5.14
CORA,16.04.2026 20:00,4.59
AUCHAN,17.04.2026 04:00,4.7
CARREFOUR,17.04.2026 04:00,5.3
CORA,17.04.2026 04:00,4.59
