network,avg_price,min_price,max_price,stores
PENNY,2.09,2.09,2.09,1
KAUFLAND,2.39,2.39,2.39,5
MEGA IMAGE SRL,3.39,3.39,3.39,16
CARREFOUR,3.76,3.29,4.39,5
PROFI,3.79,3.79,3.79,1

network,price_date,avg_price
AUCHAN,15.04.2026 04:00,3.39
CARREFOUR,15.04.2026 04:00,3.59
CORA,15.04.2026 04:00,3.19
KAUFLAND,15.04.2026 04:00,3.29
MEGA IMAGE SRL,15.04.2026 04:00,3.48
PROFI,15.04.2026 04:00,3.79
SELGROS,15.04.2026 04:00,2.75
AUCHAN,15.04.2026 20:00,3.39
CARREFOUR,15.04.2026 20:00,3.72
CORA,15.04.2026 20:00,3.19
KAUFLAND,15.04.2026 20:00,2.39
MEGA IMAGE SRL,15.04.2026 20:00,3.4
PENNY,15.04.2026 20:00,2.09
PROFI,15.04.2026 20:00,3.69
CARREFOUR,16.04.2026 04:00,3.76
KAUFLAND,16.04.2026 04:00,2.39
MEGA IMAGE SRL,16.04.2026 04:00,3.39
PENNY,16.04.2026 04:00,2.09
PROFI,16.04.2026 04:00,3.79
