network,avg_price,min_price,max_price,stores
SUPECO,3.59,3.59,3.59,15
CORA,4.47,4.39,4.49,5
KAUFLAND,4.59,4.59,4.59,167
AUCHAN,5.19,4.89,5.24,8
CARREFOUR,5.36,4.59,5.89,242
PROFI,6.43,5.59,6.89,606
SELGROS,6.7,6.7,6.7,17
MEGA IMAGE SRL,8.04,5.29,21.99,91

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,5.39
KAUFLAND,13.04.2026 20:00,4.59
PROFI,13.04.2026 20:00,6.5
SELGROS,13.04.2026 20:00,6.7
CARREFOUR,15.04.2026 04:00,5.28
CORA,15.04.2026 04:00,4.49
KAUFLAND,15.04.2026 04:00,4.59
MEGA IMAGE SRL,15.04.2026 04:00,6.81
PROFI,15.04.2026 04:00,6.38
SELGROS,15.04.2026 04:00,6.7
AUCHAN,15.04.2026 20:00,5.19
CARREFOUR,15.04.2026 20:00,5.4
CORA,15.04.2026 20:00,4.47
KAUFLAND,15.04.2026 20:00,4.59
MEGA IMAGE SRL,15.04.2026 20:00,8.85
PROFI,15.04.2026 20:00,6.44
SELGROS,15.04.2026 20:00,6.7
SUPECO,15.04.2026 20:00,3.59
CARREFOUR,16.04.2026 04:00,5.39
KAUFLAND,16.04.2026 04:00,4.59
MEGA IMAGE SRL,16.04.2026 04:00,8.81
PROFI,16.04.2026 04:00,6.33
SELGROS,16.04.2026 04:00,6.7
CARREFOUR,16.04.2026 20:00,5.33
CORA,16.04.2026 20:00,4.49
KAUFLAND,16.04.2026 20:00,4.59
MEGA IMAGE SRL,16.04.2026 20:00,7.99
PROFI,16.04.2026 20:00,6.31
SELGROS,16.04.2026 20:00,6.7
AUCHAN,17.04.2026 04:00,5.19
CARREFOUR,17.04.2026 04:00,5.36
CORA,17.04.2026 04:00,4.47
KAUFLAND,17.04.2026 04:00,4.59
MEGA IMAGE SRL,17.04.2026 04:00,8.04
PROFI,17.04.2026 04:00,6.43
SELGROS,17.04.2026 04:00,6.7
SUPECO,17.04.2026 04:00,3.59
