network,avg_price,min_price,max_price,stores
KAUFLAND,6.99,6.99,6.99,29
PENNY,6.99,6.99,6.99,2
CORA,8.79,8.79,8.79,4
AUCHAN,8.96,6.69,9.49,10
SELGROS,9.35,9.35,9.35,5
MEGA IMAGE SRL,10.06,9.99,11.39,123
CARREFOUR,10.09,7.19,10.45,50
PROFI,10.52,9.99,10.99,146

network,price_date,avg_price
AUCHAN,15.04.2026 04:00,9.49
CARREFOUR,15.04.2026 04:00,10.39
KAUFLAND,15.04.2026 04:00,9.99
MEGA IMAGE SRL,15.04.2026 04:00,9.99
PENNY,15.04.2026 04:00,7.29
PROFI,15.04.2026 04:00,10.32
AUCHAN,15.04.2026 20:00,9.11
CARREFOUR,15.04.2026 20:00,10.13
CORA,15.04.2026 20:00,8.79
KAUFLAND,15.04.2026 20:00,9.99
MEGA IMAGE SRL,15.04.2026 20:00,10.05
PENNY,15.04.2026 20:00,9.99
PROFI,15.04.2026 20:00,10.52
SELGROS,15.04.2026 20:00,9.35
AUCHAN,17.04.2026 04:00,9.08
CARREFOUR,17.04.2026 04:00,10.13
CORA,17.04.2026 04:00,8.79
KAUFLAND,17.04.2026 04:00,9.99
MEGA IMAGE SRL,17.04.2026 04:00,10.05
PENNY,17.04.2026 04:00,9.99
PROFI,17.04.2026 04:00,10.52
SELGROS,17.04.2026 04:00,9.35
AUCHAN,17.04.2026 20:00,9.08
CARREFOUR,17.04.2026 20:00,10.14
CORA,17.04.2026 20:00,8.79
KAUFLAND,17.04.2026 20:00,9.99
MEGA IMAGE SRL,17.04.2026 20:00,10.06
PENNY,17.04.2026 20:00,9.99
PROFI,17.04.2026 20:00,10.52
SELGROS,17.04.2026 20:00,9.35
AUCHAN,18.04.2026 20:00,9.05
CARREFOUR,18.04.2026 20:00,10.14
CORA,18.04.2026 20:00,8.79
KAUFLAND,18.04.2026 20:00,9.99
MEGA IMAGE SRL,18.04.2026 20:00,10.06
PENNY,18.04.2026 20:00,9.99
PROFI,18.04.2026 20:00,10.52
SELGROS,18.04.2026 20:00,9.35
AUCHAN,19.04.2026 20:00,9.05
CARREFOUR,19.04.2026 20:00,10.14
CORA,19.04.2026 20:00,8.79
KAUFLAND,19.04.2026 20:00,9.99
MEGA IMAGE SRL,19.04.2026 20:00,10.05
PENNY,19.04.2026 20:00,9.99
PROFI,19.04.2026 20:00,10.52
SELGROS,19.04.2026 20:00,9.35
AUCHAN,20.04.2026 20:00,9.05
CARREFOUR,20.04.2026 20:00,10.14
CORA,20.04.2026 20:00,8.79
KAUFLAND,20.04.2026 20:00,9.99
MEGA IMAGE SRL,20.04.2026 20:00,10.06
PENNY,20.04.2026 20:00,9.99
PROFI,20.04.2026 20:00,10.51
SELGROS,20.04.2026 20:00,9.35
AUCHAN,21.04.2026 20:00,9.05
CARREFOUR,21.04.2026 20:00,10.14
CORA,21.04.2026 20:00,8.79
KAUFLAND,21.04.2026 20:00,9.99
MEGA IMAGE SRL,21.04.2026 20:00,10.05
PENNY,21.04.2026 20:00,9.99
PROFI,21.04.2026 20:00,10.52
SELGROS,21.04.2026 20:00,9.35
AUCHAN,22.04.2026 20:00,9.05
CARREFOUR,22.04.2026 20:00,10.14
CORA,22.04.2026 20:00,8.79
KAUFLAND,22.04.2026 20:00,6.99
MEGA IMAGE SRL,22.04.2026 20:00,10.06
PENNY,22.04.2026 20:00,6.99
PROFI,22.04.2026 20:00,10.52
SELGROS,22.04.2026 20:00,9.35
AUCHAN,23.04.2026 20:00,9.05
CARREFOUR,23.04.2026 20:00,10.13
CORA,23.04.2026 20:00,8.79
KAUFLAND,23.04.2026 20:00,6.99
MEGA IMAGE SRL,23.04.2026 20:00,10.06
PENNY,23.04.2026 20:00,6.99
PROFI,23.04.2026 20:00,10.52
SELGROS,23.04.2026 20:00,9.35
AUCHAN,24.04.2026 20:00,8.96
CARREFOUR,24.04.2026 20:00,10.09
CORA,24.04.2026 20:00,8.79
KAUFLAND,24.04.2026 20:00,6.99
MEGA IMAGE SRL,24.04.2026 20:00,10.06
PENNY,24.04.2026 20:00,6.99
PROFI,24.04.2026 20:00,10.52
SELGROS,24.04.2026 20:00,9.35
AUCHAN,25.04.2026 20:00,8.96
CARREFOUR,25.04.2026 20:00,10.09
CORA,25.04.2026 20:00,8.79
KAUFLAND,25.04.2026 20:00,6.99
MEGA IMAGE SRL,25.04.2026 20:00,10.06
PENNY,25.04.2026 20:00,6.99
PROFI,25.04.2026 20:00,10.52
SELGROS,25.04.2026 20:00,9.35
