network,avg_price,min_price,max_price,stores
PROFI,4.38,2.39,5.55,811
SELGROS,4.6,4.6,4.6,17
AUCHAN,4.74,3.85,5.19,21
MEGA IMAGE SRL,5.49,5.49,5.49,29
KAUFLAND,5.99,5.99,5.99,167
CORA,8.62,3.05,12.6,5

network,price_date,avg_price
KAUFLAND,13.04.2026 20:00,5.99
PROFI,13.04.2026 20:00,4.34
SELGROS,13.04.2026 20:00,4.6
CORA,15.04.2026 04:00,4.69
KAUFLAND,15.04.2026 04:00,5.99
MEGA IMAGE SRL,15.04.2026 04:00,5.49
PROFI,15.04.2026 04:00,4.42
SELGROS,15.04.2026 04:00,4.6
AUCHAN,15.04.2026 20:00,4.72
CORA,15.04.2026 20:00,8.15
KAUFLAND,15.04.2026 20:00,5.99
MEGA IMAGE SRL,15.04.2026 20:00,5.49
PROFI,15.04.2026 20:00,4.39
SELGROS,15.04.2026 20:00,4.6
KAUFLAND,16.04.2026 04:00,5.99
MEGA IMAGE SRL,16.04.2026 04:00,5.49
PROFI,16.04.2026 04:00,4.57
SELGROS,16.04.2026 04:00,4.6
AUCHAN,16.04.2026 20:00,5.02
CORA,16.04.2026 20:00,6.1
KAUFLAND,16.04.2026 20:00,5.99
MEGA IMAGE SRL,16.04.2026 20:00,5.49
PROFI,16.04.2026 20:00,4.5
SELGROS,16.04.2026 20:00,4.6
AUCHAN,17.04.2026 04:00,4.74
CORA,17.04.2026 04:00,8.62
KAUFLAND,17.04.2026 04:00,5.99
MEGA IMAGE SRL,17.04.2026 04:00,5.49
PROFI,17.04.2026 04:00,4.38
SELGROS,17.04.2026 04:00,4.6
