network,avg_price,min_price,max_price,stores
CORA,14.49,14.49,14.49,4
AUCHAN,14.99,14.99,14.99,4
SELGROS,15.2,15.2,15.2,5
MEGA IMAGE SRL,16.54,16.49,17.49,130
CARREFOUR,17.53,16.49,18.99,55
PROFI,17.58,17.29,18.19,117
KAUFLAND,18.67,16.49,20.39,25

network,price_date,avg_price
CARREFOUR,15.04.2026 04:00,16.94
KAUFLAND,15.04.2026 04:00,18.89
MEGA IMAGE SRL,15.04.2026 04:00,16.49
PROFI,15.04.2026 04:00,17.42
AUCHAN,15.04.2026 20:00,14.99
CARREFOUR,15.04.2026 20:00,17.15
CORA,15.04.2026 20:00,14.49
KAUFLAND,15.04.2026 20:00,18.83
MEGA IMAGE SRL,15.04.2026 20:00,16.54
PROFI,15.04.2026 20:00,17.58
SELGROS,15.04.2026 20:00,15.2
AUCHAN,17.04.2026 04:00,14.99
CARREFOUR,17.04.2026 04:00,17.15
CORA,17.04.2026 04:00,14.49
KAUFLAND,17.04.2026 04:00,18.67
MEGA IMAGE SRL,17.04.2026 04:00,16.54
PROFI,17.04.2026 04:00,17.58
SELGROS,17.04.2026 04:00,15.2
AUCHAN,17.04.2026 20:00,14.99
CARREFOUR,17.04.2026 20:00,17.51
CORA,17.04.2026 20:00,14.49
KAUFLAND,17.04.2026 20:00,18.36
MEGA IMAGE SRL,17.04.2026 20:00,16.55
PROFI,17.04.2026 20:00,17.58
SELGROS,17.04.2026 20:00,15.2
AUCHAN,18.04.2026 20:00,14.99
CARREFOUR,18.04.2026 20:00,17.51
CORA,18.04.2026 20:00,14.49
KAUFLAND,18.04.2026 20:00,18.83
MEGA IMAGE SRL,18.04.2026 20:00,16.54
PROFI,18.04.2026 20:00,17.58
SELGROS,18.04.2026 20:00,15.2
AUCHAN,19.04.2026 20:00,14.99
CARREFOUR,19.04.2026 20:00,17.51
CORA,19.04.2026 20:00,14.49
KAUFLAND,19.04.2026 20:00,17.58
MEGA IMAGE SRL,19.04.2026 20:00,16.54
PROFI,19.04.2026 20:00,17.58
SELGROS,19.04.2026 20:00,15.2
AUCHAN,20.04.2026 20:00,14.99
CARREFOUR,20.04.2026 20:00,17.53
CORA,20.04.2026 20:00,14.49
KAUFLAND,20.04.2026 20:00,18.05
MEGA IMAGE SRL,20.04.2026 20:00,16.54
PROFI,20.04.2026 20:00,17.58
SELGROS,20.04.2026 20:00,15.2
AUCHAN,21.04.2026 20:00,14.99
CARREFOUR,21.04.2026 20:00,17.53
CORA,21.04.2026 20:00,14.49
KAUFLAND,21.04.2026 20:00,18.67
MEGA IMAGE SRL,21.04.2026 20:00,16.54
PROFI,21.04.2026 20:00,17.58
SELGROS,21.04.2026 20:00,15.2
