network,avg_price,min_price,max_price,stores
CARREFOUR,32.44,31.49,32.99,4
MEGA IMAGE SRL,32.62,32.29,35.29,18
KAUFLAND,33.19,33.19,33.19,5
PROFI,33.19,33.19,33.19,2

network,price_date,avg_price
AUCHAN,15.04.2026 04:00,24.99
CARREFOUR,15.04.2026 04:00,32.54
CORA,15.04.2026 04:00,28.5
KAUFLAND,15.04.2026 04:00,33.19
MEGA IMAGE SRL,15.04.2026 04:00,33.46
PROFI,15.04.2026 04:00,33.19
SELGROS,15.04.2026 04:00,33.2
AUCHAN,15.04.2026 20:00,26.52
CARREFOUR,15.04.2026 20:00,32.34
CORA,15.04.2026 20:00,28.5
KAUFLAND,15.04.2026 20:00,33.19
MEGA IMAGE SRL,15.04.2026 20:00,32.56
PROFI,15.04.2026 20:00,33.38
CARREFOUR,16.04.2026 04:00,32.44
KAUFLAND,16.04.2026 04:00,33.19
MEGA IMAGE SRL,16.04.2026 04:00,32.62
PROFI,16.04.2026 04:00,33.19
