network,avg_price,min_price,max_price,stores
AUCHAN,15.59,15.59,15.59,16
CORA,16.0,16.0,16.0,4
KAUFLAND,17.75,17.75,17.75,25
CARREFOUR,17.99,17.99,17.99,11
SELGROS,20.51,20.51,20.51,4

network,price_date,avg_price
AUCHAN,15.04.2026 04:00,15.59
CARREFOUR,15.04.2026 04:00,14.99
KAUFLAND,15.04.2026 04:00,17.75
AUCHAN,15.04.2026 20:00,15.59
CARREFOUR,15.04.2026 20:00,14.99
CORA,15.04.2026 20:00,16.0
KAUFLAND,15.04.2026 20:00,17.75
SELGROS,15.04.2026 20:00,20.51
AUCHAN,17.04.2026 04:00,15.59
CARREFOUR,17.04.2026 04:00,14.99
CORA,17.04.2026 04:00,16.0
KAUFLAND,17.04.2026 04:00,17.75
SELGROS,17.04.2026 04:00,20.51
AUCHAN,17.04.2026 20:00,15.59
CARREFOUR,17.04.2026 20:00,17.99
CORA,17.04.2026 20:00,16.0
KAUFLAND,17.04.2026 20:00,17.75
SELGROS,17.04.2026 20:00,20.51
AUCHAN,18.04.2026 20:00,15.59
CARREFOUR,18.04.2026 20:00,17.99
CORA,18.04.2026 20:00,16.0
KAUFLAND,18.04.2026 20:00,17.75
SELGROS,18.04.2026 20:00,20.51
AUCHAN,19.04.2026 20:00,15.59
CARREFOUR,19.04.2026 20:00,17.99
CORA,19.04.2026 20:00,16.0
KAUFLAND,19.04.2026 20:00,17.75
SELGROS,19.04.2026 20:00,20.51
