network,avg_price,min_price,max_price,stores
KAUFLAND,19.99,19.99,19.99,25
PROFI,20.76,18.99,24.39,140
CORA,20.99,20.99,20.99,4
AUCHAN,22.49,22.49,22.49,13
SELGROS,22.69,22.69,22.69,5
MEGA IMAGE SRL,23.44,23.09,25.39,130
CARREFOUR,24.08,23.49,24.99,54

network,price_date,avg_price
AUCHAN,15.04.2026 04:00,22.49
CARREFOUR,15.04.2026 04:00,22.99
KAUFLAND,15.04.2026 04:00,19.99
MEGA IMAGE SRL,15.04.2026 04:00,23.49
PROFI,15.04.2026 04:00,22.59
AUCHAN,15.04.2026 20:00,22.49
CARREFOUR,15.04.2026 20:00,23.24
CORA,15.04.2026 20:00,20.99
KAUFLAND,15.04.2026 20:00,19.99
MEGA IMAGE SRL,15.04.2026 20:00,23.43
PROFI,15.04.2026 20:00,20.72
SELGROS,15.04.2026 20:00,22.69
AUCHAN,17.04.2026 04:00,22.49
CARREFOUR,17.04.2026 04:00,23.24
CORA,17.04.2026 04:00,20.99
KAUFLAND,17.04.2026 04:00,19.99
MEGA IMAGE SRL,17.04.2026 04:00,23.46
PROFI,17.04.2026 04:00,20.7
SELGROS,17.04.2026 04:00,22.69
AUCHAN,17.04.2026 20:00,22.49
CARREFOUR,17.04.2026 20:00,24.08
CORA,17.04.2026 20:00,20.99
KAUFLAND,17.04.2026 20:00,19.99
MEGA IMAGE SRL,17.04.2026 20:00,23.43
PROFI,17.04.2026 20:00,20.75
SELGROS,17.04.2026 20:00,22.69
AUCHAN,18.04.2026 20:00,22.49
CARREFOUR,18.04.2026 20:00,24.08
CORA,18.04.2026 20:00,20.99
KAUFLAND,18.04.2026 20:00,19.99
MEGA IMAGE SRL,18.04.2026 20:00,23.44
PROFI,18.04.2026 20:00,20.76
SELGROS,18.04.2026 20:00,22.69
