network,avg_price,min_price,max_price,stores
CORA,2.99,2.99,2.99,5
PROFI,4.79,4.79,4.79,2
AUCHAN,7.74,6.49,8.99,2
SELGROS,8.19,8.19,8.19,6

network,price_date,avg_price
CORA,15.04.2026 04:00,2.99
SELGROS,15.04.2026 04:00,8.19
AUCHAN,15.04.2026 20:00,7.74
CORA,15.04.2026 20:00,2.99
SELGROS,15.04.2026 20:00,8.19
CORA,16.04.2026 20:00,2.99
SELGROS,16.04.2026 20:00,8.19
AUCHAN,17.04.2026 04:00,7.74
CORA,17.04.2026 04:00,2.99
PROFI,17.04.2026 04:00,4.79
SELGROS,17.04.2026 04:00,8.19
