network,avg_price,min_price,max_price,stores
MEGA IMAGE SRL,0.49,0.49,0.59,128
CORA,0.49,0.49,0.49,4
KAUFLAND,0.49,0.49,0.49,25
PENNY,0.49,0.49,0.49,2
AUCHAN,0.55,0.53,0.59,8
SELGROS,0.61,0.61,0.61,5
CARREFOUR,0.64,0.49,0.89,54
PROFI,1.0,0.99,1.09,144

network,price_date,avg_price
CARREFOUR,15.04.2026 04:00,0.59
KAUFLAND,15.04.2026 04:00,0.49
MEGA IMAGE SRL,15.04.2026 04:00,0.49
PROFI,15.04.2026 04:00,0.99
AUCHAN,15.04.2026 20:00,0.55
CARREFOUR,15.04.2026 20:00,0.64
CORA,15.04.2026 20:00,0.49
KAUFLAND,15.04.2026 20:00,0.49
MEGA IMAGE SRL,15.04.2026 20:00,0.49
PENNY,15.04.2026 20:00,0.49
PROFI,15.04.2026 20:00,1.0
SELGROS,15.04.2026 20:00,0.61
AUCHAN,17.04.2026 04:00,0.55
CARREFOUR,17.04.2026 04:00,0.64
CORA,17.04.2026 04:00,0.49
KAUFLAND,17.04.2026 04:00,0.49
MEGA IMAGE SRL,17.04.2026 04:00,0.49
PENNY,17.04.2026 04:00,0.49
PROFI,17.04.2026 04:00,1.0
SELGROS,17.04.2026 04:00,0.61
AUCHAN,17.04.2026 20:00,0.55
CARREFOUR,17.04.2026 20:00,0.64
CORA,17.04.2026 20:00,0.49
KAUFLAND,17.04.2026 20:00,0.49
MEGA IMAGE SRL,17.04.2026 20:00,0.5
PENNY,17.04.2026 20:00,0.49
PROFI,17.04.2026 20:00,1.0
SELGROS,17.04.2026 20:00,0.61
AUCHAN,18.04.2026 20:00,0.55
CARREFOUR,18.04.2026 20:00,0.64
CORA,18.04.2026 20:00,0.49
KAUFLAND,18.04.2026 20:00,0.49
MEGA IMAGE SRL,18.04.2026 20:00,0.5
PENNY,18.04.2026 20:00,0.49
PROFI,18.04.2026 20:00,1.0
SELGROS,18.04.2026 20:00,0.61
AUCHAN,19.04.2026 20:00,0.55
CARREFOUR,19.04.2026 20:00,0.64
CORA,19.04.2026 20:00,0.49
KAUFLAND,19.04.2026 20:00,0.49
MEGA IMAGE SRL,19.04.2026 20:00,0.49
PENNY,19.04.2026 20:00,0.49
PROFI,19.04.2026 20:00,1.0
SELGROS,19.04.2026 20:00,0.61
