network,avg_price,min_price,max_price,stores
PROFI,6.06,6.06,6.06,1
CORA,7.69,7.69,7.69,5
KAUFLAND,8.02,8.02,8.02,167
CARREFOUR,8.93,7.79,9.3,80
AUCHAN,9.52,9.49,9.53,15
SELGROS,10.7,10.7,10.7,17

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,9.0
KAUFLAND,13.04.2026 20:00,8.02
SELGROS,13.04.2026 20:00,10.7
AUCHAN,15.04.2026 04:00,9.53
CARREFOUR,15.04.2026 04:00,9.16
CORA,15.04.2026 04:00,7.69
KAUFLAND,15.04.2026 04:00,8.02
SELGROS,15.04.2026 04:00,10.7
AUCHAN,15.04.2026 20:00,9.52
CARREFOUR,15.04.2026 20:00,8.97
CORA,15.04.2026 20:00,7.69
KAUFLAND,15.04.2026 20:00,8.02
PROFI,15.04.2026 20:00,6.06
SELGROS,15.04.2026 20:00,10.7
CARREFOUR,16.04.2026 04:00,9.0
KAUFLAND,16.04.2026 04:00,8.02
SELGROS,16.04.2026 04:00,10.7
AUCHAN,16.04.2026 20:00,9.53
CARREFOUR,16.04.2026 20:00,9.1
CORA,16.04.2026 20:00,7.69
KAUFLAND,16.04.2026 20:00,8.02
SELGROS,16.04.2026 20:00,10.7
AUCHAN,17.04.2026 04:00,9.52
CARREFOUR,17.04.2026 04:00,8.93
CORA,17.04.2026 04:00,7.69
KAUFLAND,17.04.2026 04:00,8.02
PROFI,17.04.2026 04:00,6.06
SELGROS,17.04.2026 04:00,10.7
