network,avg_price,min_price,max_price,stores
AUCHAN,5.05,4.99,5.29,15
SELGROS,6.82,6.82,6.82,17
CORA,7.73,7.49,7.79,5
KAUFLAND,7.99,7.99,7.99,167
CARREFOUR,8.1,7.99,8.69,49

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,7.99
KAUFLAND,13.04.2026 20:00,7.99
SELGROS,13.04.2026 20:00,6.82
CARREFOUR,15.04.2026 04:00,7.99
CORA,15.04.2026 04:00,7.79
KAUFLAND,15.04.2026 04:00,7.99
SELGROS,15.04.2026 04:00,6.82
AUCHAN,15.04.2026 20:00,5.05
CARREFOUR,15.04.2026 20:00,8.1
CORA,15.04.2026 20:00,7.74
KAUFLAND,15.04.2026 20:00,7.99
SELGROS,15.04.2026 20:00,6.82
CARREFOUR,16.04.2026 04:00,8.21
KAUFLAND,16.04.2026 04:00,7.99
SELGROS,16.04.2026 04:00,6.82
AUCHAN,16.04.2026 20:00,4.99
CARREFOUR,16.04.2026 20:00,8.05
CORA,16.04.2026 20:00,7.79
KAUFLAND,16.04.2026 20:00,7.99
SELGROS,16.04.2026 20:00,6.82
AUCHAN,17.04.2026 04:00,5.05
CARREFOUR,17.04.2026 04:00,8.1
CORA,17.04.2026 04:00,7.73
KAUFLAND,17.04.2026 04:00,7.99
SELGROS,17.04.2026 04:00,6.82
