network,avg_price,min_price,max_price,stores
CARREFOUR,3.99,3.69,4.09,6
MEGA IMAGE SRL,3.99,3.99,3.99,11
PROFI,4.01,3.89,4.19,5

network,price_date,avg_price
AUCHAN,15.04.2026 04:00,3.59
CARREFOUR,15.04.2026 04:00,3.9
CORA,15.04.2026 04:00,3.09
MEGA IMAGE SRL,15.04.2026 04:00,3.99
PROFI,15.04.2026 04:00,4.02
SELGROS,15.04.2026 04:00,4.01
AUCHAN,15.04.2026 20:00,3.46
CARREFOUR,15.04.2026 20:00,3.98
CORA,15.04.2026 20:00,3.09
MEGA IMAGE SRL,15.04.2026 20:00,3.99
PROFI,15.04.2026 20:00,3.93
CARREFOUR,16.04.2026 04:00,3.99
MEGA IMAGE SRL,16.04.2026 04:00,3.99
PROFI,16.04.2026 04:00,4.01
