network,avg_price,min_price,max_price,stores
CARREFOUR,2.93,2.69,3.29,88
KAUFLAND,3.09,3.09,3.09,164
CORA,3.19,3.19,3.19,5
SELGROS,3.19,3.19,3.19,13
PROFI,3.61,2.51,6.09,18

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,2.82
KAUFLAND,13.04.2026 20:00,3.09
PROFI,13.04.2026 20:00,3.59
SELGROS,13.04.2026 20:00,3.19
CARREFOUR,15.04.2026 04:00,2.77
CORA,15.04.2026 04:00,3.19
KAUFLAND,15.04.2026 04:00,3.09
SELGROS,15.04.2026 04:00,3.19
CARREFOUR,15.04.2026 20:00,2.91
CORA,15.04.2026 20:00,3.19
KAUFLAND,15.04.2026 20:00,3.09
PROFI,15.04.2026 20:00,3.89
SELGROS,15.04.2026 20:00,3.19
CARREFOUR,16.04.2026 04:00,2.89
KAUFLAND,16.04.2026 04:00,3.09
SELGROS,16.04.2026 04:00,3.19
CARREFOUR,16.04.2026 20:00,2.85
CORA,16.04.2026 20:00,3.19
KAUFLAND,16.04.2026 20:00,3.09
SELGROS,16.04.2026 20:00,3.19
CARREFOUR,17.04.2026 04:00,2.93
CORA,17.04.2026 04:00,3.19
KAUFLAND,17.04.2026 04:00,3.09
PROFI,17.04.2026 04:00,3.61
SELGROS,17.04.2026 04:00,3.19
