network,avg_price,min_price,max_price,stores
CORA,19.09,19.09,19.09,5
AUCHAN,20.26,18.99,21.99,9
SELGROS,22.29,22.29,22.29,17
MEGA IMAGE SRL,22.99,22.99,22.99,41
CARREFOUR,23.0,22.99,23.45,38

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,22.99
SELGROS,13.04.2026 20:00,22.29
AUCHAN,15.04.2026 04:00,20.29
CARREFOUR,15.04.2026 04:00,23.1
CORA,15.04.2026 04:00,19.09
MEGA IMAGE SRL,15.04.2026 04:00,22.99
SELGROS,15.04.2026 04:00,22.29
AUCHAN,15.04.2026 20:00,20.26
CARREFOUR,15.04.2026 20:00,23.03
CORA,15.04.2026 20:00,19.09
MEGA IMAGE SRL,15.04.2026 20:00,22.99
SELGROS,15.04.2026 20:00,22.29
CARREFOUR,16.04.2026 04:00,23.23
MEGA IMAGE SRL,16.04.2026 04:00,22.99
SELGROS,16.04.2026 04:00,22.29
AUCHAN,16.04.2026 20:00,21.14
CARREFOUR,16.04.2026 20:00,23.16
CORA,16.04.2026 20:00,19.09
MEGA IMAGE SRL,16.04.2026 20:00,22.99
SELGROS,16.04.2026 20:00,22.29
AUCHAN,17.04.2026 04:00,20.26
CARREFOUR,17.04.2026 04:00,23.0
CORA,17.04.2026 04:00,19.09
MEGA IMAGE SRL,17.04.2026 04:00,22.99
SELGROS,17.04.2026 04:00,22.29
