network,avg_price,min_price,max_price,stores
PROFI,5.13,4.99,5.35,5
MEGA IMAGE SRL,5.21,5.19,5.39,18
CARREFOUR,5.34,5.19,5.49,6
KAUFLAND,5.49,5.49,5.49,5

network,price_date,avg_price
AUCHAN,15.04.2026 04:00,4.85
CARREFOUR,15.04.2026 04:00,5.44
CORA,15.04.2026 04:00,4.39
KAUFLAND,15.04.2026 04:00,5.49
MEGA IMAGE SRL,15.04.2026 04:00,5.24
PROFI,15.04.2026 04:00,5.09
SELGROS,15.04.2026 04:00,5.69
AUCHAN,15.04.2026 20:00,4.6
CARREFOUR,15.04.2026 20:00,5.35
CORA,15.04.2026 20:00,4.39
KAUFLAND,15.04.2026 20:00,5.49
MEGA IMAGE SRL,15.04.2026 20:00,5.21
PROFI,15.04.2026 20:00,5.04
CARREFOUR,16.04.2026 04:00,5.34
KAUFLAND,16.04.2026 04:00,5.49
MEGA IMAGE SRL,16.04.2026 04:00,5.21
PROFI,16.04.2026 04:00,5.13
