network,avg_price,min_price,max_price,stores
SELGROS,3.29,3.29,3.29,5
PENNY,3.75,3.75,3.75,2
AUCHAN,3.82,3.39,3.89,7
KAUFLAND,3.89,3.89,3.89,25
MEGA IMAGE SRL,3.99,3.99,3.99,130
CARREFOUR,4.07,3.89,4.29,54
PROFI,4.18,3.69,4.69,134
CORA,4.45,4.45,4.45,4

network,price_date,avg_price
AUCHAN,15.04.2026 04:00,3.89
CARREFOUR,15.04.2026 04:00,3.09
KAUFLAND,15.04.2026 04:00,3.19
MEGA IMAGE SRL,15.04.2026 04:00,3.99
PENNY,15.04.2026 04:00,3.75
PROFI,15.04.2026 04:00,4.02
AUCHAN,15.04.2026 20:00,3.83
CARREFOUR,15.04.2026 20:00,3.39
CORA,15.04.2026 20:00,4.45
KAUFLAND,15.04.2026 20:00,3.89
MEGA IMAGE SRL,15.04.2026 20:00,3.99
PENNY,15.04.2026 20:00,3.75
PROFI,15.04.2026 20:00,4.18
SELGROS,15.04.2026 20:00,3.29
AUCHAN,17.04.2026 04:00,3.83
CARREFOUR,17.04.2026 04:00,3.39
CORA,17.04.2026 04:00,4.45
KAUFLAND,17.04.2026 04:00,3.89
MEGA IMAGE SRL,17.04.2026 04:00,3.99
PENNY,17.04.2026 04:00,3.75
PROFI,17.04.2026 04:00,4.17
SELGROS,17.04.2026 04:00,3.29
AUCHAN,17.04.2026 20:00,3.83
CARREFOUR,17.04.2026 20:00,4.07
CORA,17.04.2026 20:00,4.45
KAUFLAND,17.04.2026 20:00,3.89
MEGA IMAGE SRL,17.04.2026 20:00,3.99
PENNY,17.04.2026 20:00,3.75
PROFI,17.04.2026 20:00,4.17
SELGROS,17.04.2026 20:00,3.29
AUCHAN,18.04.2026 20:00,3.82
CARREFOUR,18.04.2026 20:00,4.07
CORA,18.04.2026 20:00,4.45
KAUFLAND,18.04.2026 20:00,3.89
MEGA IMAGE SRL,18.04.2026 20:00,3.99
PENNY,18.04.2026 20:00,3.75
PROFI,18.04.2026 20:00,4.18
SELGROS,18.04.2026 20:00,3.29
