network,avg_price,min_price,max_price,stores
KAUFLAND,9.75,9.75,9.75,5
MEGA IMAGE SRL,10.49,10.49,10.49,7
CARREFOUR,11.01,9.09,12.99,5
PROFI,13.1,12.57,13.49,5

network,price_date,avg_price
AUCHAN,15.04.2026 04:00,8.99
CARREFOUR,15.04.2026 04:00,10.42
CORA,15.04.2026 04:00,8.99
KAUFLAND,15.04.2026 04:00,9.75
MEGA IMAGE SRL,15.04.2026 04:00,10.49
PENNY,15.04.2026 04:00,8.49
PROFI,15.04.2026 04:00,10.23
AUCHAN,15.04.2026 20:00,8.99
CARREFOUR,15.04.2026 20:00,11.06
CORA,15.04.2026 20:00,8.99
KAUFLAND,15.04.2026 20:00,9.75
MEGA IMAGE SRL,15.04.2026 20:00,10.49
PROFI,15.04.2026 20:00,12.72
CARREFOUR,16.04.2026 04:00,11.01
KAUFLAND,16.04.2026 04:00,9.75
MEGA IMAGE SRL,16.04.2026 04:00,10.49
PROFI,16.04.2026 04:00,13.1
