network,avg_price,min_price,max_price,stores
CORA,5.49,5.49,5.49,4
PENNY,5.69,5.69,5.69,2
KAUFLAND,5.87,5.69,6.19,25
CARREFOUR,6.19,5.89,8.39,54
PROFI,6.92,5.99,6.99,133
MEGA IMAGE SRL,7.44,6.99,7.99,130
AUCHAN,7.99,7.99,7.99,5
SELGROS,9.63,6.99,10.29,5

network,price_date,avg_price
AUCHAN,15.04.2026 04:00,7.99
CARREFOUR,15.04.2026 04:00,6.08
KAUFLAND,15.04.2026 04:00,5.69
MEGA IMAGE SRL,15.04.2026 04:00,7.99
PENNY,15.04.2026 04:00,5.69
PROFI,15.04.2026 04:00,6.66
AUCHAN,15.04.2026 20:00,7.99
CARREFOUR,15.04.2026 20:00,6.31
CORA,15.04.2026 20:00,5.49
KAUFLAND,15.04.2026 20:00,5.93
MEGA IMAGE SRL,15.04.2026 20:00,7.51
PENNY,15.04.2026 20:00,5.69
PROFI,15.04.2026 20:00,6.92
SELGROS,15.04.2026 20:00,9.63
AUCHAN,17.04.2026 04:00,7.99
CARREFOUR,17.04.2026 04:00,6.32
CORA,17.04.2026 04:00,5.49
KAUFLAND,17.04.2026 04:00,5.99
MEGA IMAGE SRL,17.04.2026 04:00,7.53
PENNY,17.04.2026 04:00,5.69
PROFI,17.04.2026 04:00,6.92
SELGROS,17.04.2026 04:00,9.63
AUCHAN,17.04.2026 20:00,7.99
CARREFOUR,17.04.2026 20:00,6.19
CORA,17.04.2026 20:00,5.49
KAUFLAND,17.04.2026 20:00,5.87
MEGA IMAGE SRL,17.04.2026 20:00,7.44
PENNY,17.04.2026 20:00,5.69
PROFI,17.04.2026 20:00,6.92
SELGROS,17.04.2026 20:00,9.63
