network,avg_price,min_price,max_price,stores
CORA,69.9,69.9,69.9,5
PENNY,79.99,79.99,79.99,255
SUPECO,96.79,96.79,96.79,19
SELGROS,124.24,124.24,124.24,17
AUCHAN,135.35,87.99,138.99,28
KAUFLAND,139.0,139.0,139.0,167
CARREFOUR,141.71,126.39,158.9,230

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,138.99
KAUFLAND,13.04.2026 20:00,139.0
PENNY,13.04.2026 20:00,99.99
SELGROS,13.04.2026 20:00,124.24
AUCHAN,15.04.2026 04:00,138.99
CARREFOUR,15.04.2026 04:00,140.98
CORA,15.04.2026 04:00,69.9
KAUFLAND,15.04.2026 04:00,139.0
PENNY,15.04.2026 04:00,99.99
SELGROS,15.04.2026 04:00,124.24
AUCHAN,15.04.2026 20:00,135.47
CARREFOUR,15.04.2026 20:00,142.27
CORA,15.04.2026 20:00,69.9
KAUFLAND,15.04.2026 20:00,139.0
PENNY,15.04.2026 20:00,79.99
SELGROS,15.04.2026 20:00,124.24
SUPECO,15.04.2026 20:00,96.79
CARREFOUR,16.04.2026 04:00,143.47
KAUFLAND,16.04.2026 04:00,139.0
SELGROS,16.04.2026 04:00,124.24
AUCHAN,16.04.2026 20:00,138.99
CARREFOUR,16.04.2026 20:00,142.82
CORA,16.04.2026 20:00,69.9
KAUFLAND,16.04.2026 20:00,139.0
SELGROS,16.04.2026 20:00,124.24
AUCHAN,17.04.2026 04:00,135.35
CARREFOUR,17.04.2026 04:00,141.71
CORA,17.04.2026 04:00,69.9
KAUFLAND,17.04.2026 04:00,139.0
PENNY,17.04.2026 04:00,79.99
SELGROS,17.04.2026 04:00,124.24
SUPECO,17.04.2026 04:00,96.79
