network,avg_price,min_price,max_price,stores
CORA,1.69,1.69,1.69,4
AUCHAN,2.06,1.99,2.09,12
KAUFLAND,2.09,2.09,2.09,25
PENNY,2.09,2.09,2.09,2
CARREFOUR,2.34,2.09,2.79,54
MEGA IMAGE SRL,2.34,2.33,2.49,127
SELGROS,2.34,2.34,2.34,5
PROFI,2.51,2.45,2.69,132

network,price_date,avg_price
AUCHAN,15.04.2026 04:00,2.09
CARREFOUR,15.04.2026 04:00,2.27
KAUFLAND,15.04.2026 04:00,2.09
MEGA IMAGE SRL,15.04.2026 04:00,2.33
PENNY,15.04.2026 04:00,2.09
PROFI,15.04.2026 04:00,2.48
AUCHAN,15.04.2026 20:00,2.06
CARREFOUR,15.04.2026 20:00,2.33
CORA,15.04.2026 20:00,1.69
KAUFLAND,15.04.2026 20:00,2.09
MEGA IMAGE SRL,15.04.2026 20:00,2.34
PENNY,15.04.2026 20:00,2.09
PROFI,15.04.2026 20:00,2.51
SELGROS,15.04.2026 20:00,2.34
AUCHAN,17.04.2026 04:00,2.06
CARREFOUR,17.04.2026 04:00,2.33
CORA,17.04.2026 04:00,1.69
KAUFLAND,17.04.2026 04:00,2.09
MEGA IMAGE SRL,17.04.2026 04:00,2.34
PENNY,17.04.2026 04:00,2.09
PROFI,17.04.2026 04:00,2.51
SELGROS,17.04.2026 04:00,2.34
AUCHAN,17.04.2026 20:00,2.06
CARREFOUR,17.04.2026 20:00,2.34
CORA,17.04.2026 20:00,1.69
KAUFLAND,17.04.2026 20:00,2.09
MEGA IMAGE SRL,17.04.2026 20:00,2.34
PENNY,17.04.2026 20:00,2.09
PROFI,17.04.2026 20:00,2.51
SELGROS,17.04.2026 20:00,2.34
AUCHAN,18.04.2026 20:00,2.06
CARREFOUR,18.04.2026 20:00,2.34
CORA,18.04.2026 20:00,1.69
KAUFLAND,18.04.2026 20:00,2.09
MEGA IMAGE SRL,18.04.2026 20:00,2.34
PENNY,18.04.2026 20:00,2.09
PROFI,18.04.2026 20:00,2.51
SELGROS,18.04.2026 20:00,2.34
AUCHAN,19.04.2026 20:00,2.06
CARREFOUR,19.04.2026 20:00,2.34
CORA,19.04.2026 20:00,1.69
KAUFLAND,19.04.2026 20:00,2.09
MEGA IMAGE SRL,19.04.2026 20:00,2.34
PENNY,19.04.2026 20:00,2.09
PROFI,19.04.2026 20:00,2.51
SELGROS,19.04.2026 20:00,2.34
AUCHAN,20.04.2026 20:00,2.06
CARREFOUR,20.04.2026 20:00,2.34
CORA,20.04.2026 20:00,1.69
KAUFLAND,20.04.2026 20:00,2.09
MEGA IMAGE SRL,20.04.2026 20:00,2.34
PENNY,20.04.2026 20:00,2.09
PROFI,20.04.2026 20:00,2.51
SELGROS,20.04.2026 20:00,2.34
