network,avg_price,min_price,max_price,stores
PROFI,8.38,4.5,9.15,6
KAUFLAND,9.15,9.15,9.15,32
CORA,9.69,9.69,9.69,2
MEGA IMAGE SRL,10.29,10.29,10.29,4

network,price_date,avg_price
CORA,15.04.2026 04:00,9.69
KAUFLAND,15.04.2026 04:00,9.15
PROFI,15.04.2026 04:00,5.15
CORA,15.04.2026 20:00,9.69
KAUFLAND,15.04.2026 20:00,9.15
MEGA IMAGE SRL,15.04.2026 20:00,10.29
PROFI,15.04.2026 20:00,4.83
KAUFLAND,16.04.2026 04:00,9.15
CORA,16.04.2026 20:00,9.69
KAUFLAND,16.04.2026 20:00,9.15
PROFI,16.04.2026 20:00,5.15
CORA,17.04.2026 04:00,9.69
KAUFLAND,17.04.2026 04:00,9.15
MEGA IMAGE SRL,17.04.2026 04:00,10.29
PROFI,17.04.2026 04:00,8.38
