network,avg_price,min_price,max_price,stores
CORA,4.69,4.69,4.69,5
PROFI,4.78,2.15,5.99,75
SELGROS,4.91,4.91,4.91,17
KAUFLAND,6.49,6.49,6.49,165
CARREFOUR,6.62,6.59,7.49,39

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,6.59
KAUFLAND,13.04.2026 20:00,6.49
PROFI,13.04.2026 20:00,5.9
SELGROS,13.04.2026 20:00,4.91
CARREFOUR,15.04.2026 04:00,6.62
CORA,15.04.2026 04:00,4.69
KAUFLAND,15.04.2026 04:00,6.49
SELGROS,15.04.2026 04:00,4.91
CARREFOUR,15.04.2026 20:00,6.6
CORA,15.04.2026 20:00,4.69
KAUFLAND,15.04.2026 20:00,6.49
PROFI,15.04.2026 20:00,4.79
SELGROS,15.04.2026 20:00,4.91
CARREFOUR,16.04.2026 04:00,6.64
KAUFLAND,16.04.2026 04:00,6.49
SELGROS,16.04.2026 04:00,4.91
CARREFOUR,16.04.2026 20:00,6.62
CORA,16.04.2026 20:00,4.69
KAUFLAND,16.04.2026 20:00,6.49
PROFI,16.04.2026 20:00,5.02
SELGROS,16.04.2026 20:00,4.91
CARREFOUR,17.04.2026 04:00,6.62
CORA,17.04.2026 04:00,4.69
KAUFLAND,17.04.2026 04:00,6.49
PROFI,17.04.2026 04:00,4.78
SELGROS,17.04.2026 04:00,4.91
