network,avg_price,min_price,max_price,stores
CORA,10.2,10.2,10.2,5
PROFI,10.53,5.5,10.99,402
CARREFOUR,10.89,10.4,11.45,242
KAUFLAND,10.89,10.89,10.89,165
MEGA IMAGE SRL,10.9,10.9,10.9,177
SELGROS,11.39,11.39,11.39,14

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,10.79
KAUFLAND,13.04.2026 20:00,10.89
PROFI,13.04.2026 20:00,10.15
CARREFOUR,15.04.2026 04:00,10.73
CORA,15.04.2026 04:00,10.2
KAUFLAND,15.04.2026 04:00,10.89
MEGA IMAGE SRL,15.04.2026 04:00,10.9
PROFI,15.04.2026 04:00,10.94
SELGROS,15.04.2026 04:00,11.39
CARREFOUR,15.04.2026 20:00,10.91
CORA,15.04.2026 20:00,10.2
KAUFLAND,15.04.2026 20:00,10.89
MEGA IMAGE SRL,15.04.2026 20:00,10.9
PROFI,15.04.2026 20:00,10.3
SELGROS,15.04.2026 20:00,11.39
CARREFOUR,16.04.2026 04:00,10.81
KAUFLAND,16.04.2026 04:00,10.89
MEGA IMAGE SRL,16.04.2026 04:00,10.9
PROFI,16.04.2026 04:00,10.89
SELGROS,16.04.2026 04:00,11.39
CARREFOUR,16.04.2026 20:00,10.84
CORA,16.04.2026 20:00,10.2
KAUFLAND,16.04.2026 20:00,10.89
MEGA IMAGE SRL,16.04.2026 20:00,10.9
PROFI,16.04.2026 20:00,10.93
SELGROS,16.04.2026 20:00,11.39
CARREFOUR,17.04.2026 04:00,10.89
CORA,17.04.2026 04:00,10.2
KAUFLAND,17.04.2026 04:00,10.89
MEGA IMAGE SRL,17.04.2026 04:00,10.9
PROFI,17.04.2026 04:00,10.53
SELGROS,17.04.2026 04:00,11.39
