network,avg_price,min_price,max_price,stores
PENNY,3.18,3.18,3.18,1
PROFI,4.39,4.35,5.55,823
SELGROS,4.6,4.6,4.6,17
CORA,4.67,4.59,4.69,5
AUCHAN,4.71,3.85,5.19,28
MEGA IMAGE SRL,5.77,3.66,5.79,275
KAUFLAND,5.99,5.99,5.99,167

network,price_date,avg_price
KAUFLAND,13.04.2026 20:00,5.99
PROFI,13.04.2026 20:00,4.39
SELGROS,13.04.2026 20:00,4.6
CORA,15.04.2026 04:00,4.69
KAUFLAND,15.04.2026 04:00,5.99
MEGA IMAGE SRL,15.04.2026 04:00,5.79
PROFI,15.04.2026 04:00,4.45
SELGROS,15.04.2026 04:00,4.6
AUCHAN,15.04.2026 20:00,4.71
CORA,15.04.2026 20:00,4.67
KAUFLAND,15.04.2026 20:00,5.99
MEGA IMAGE SRL,15.04.2026 20:00,5.79
PROFI,15.04.2026 20:00,4.4
SELGROS,15.04.2026 20:00,4.6
KAUFLAND,16.04.2026 04:00,5.99
MEGA IMAGE SRL,16.04.2026 04:00,5.79
PROFI,16.04.2026 04:00,4.75
SELGROS,16.04.2026 04:00,4.6
AUCHAN,16.04.2026 20:00,4.89
CORA,16.04.2026 20:00,4.69
KAUFLAND,16.04.2026 20:00,5.99
MEGA IMAGE SRL,16.04.2026 20:00,5.79
PROFI,16.04.2026 20:00,4.48
SELGROS,16.04.2026 20:00,4.6
AUCHAN,17.04.2026 04:00,4.71
CORA,17.04.2026 04:00,4.67
KAUFLAND,17.04.2026 04:00,5.99
MEGA IMAGE SRL,17.04.2026 04:00,5.77
PENNY,17.04.2026 04:00,3.18
PROFI,17.04.2026 04:00,4.39
SELGROS,17.04.2026 04:00,4.6
