network,avg_price,min_price,max_price,stores
PROFI,36.99,36.99,36.99,8
SELGROS,40.2,40.2,40.2,11
AUCHAN,46.59,46.59,46.59,1

network,price_date,avg_price
PROFI,15.04.2026 04:00,36.99
SELGROS,15.04.2026 04:00,40.2
AUCHAN,15.04.2026 20:00,46.59
PROFI,15.04.2026 20:00,36.99
SELGROS,15.04.2026 20:00,40.2
PROFI,16.04.2026 04:00,36.99
SELGROS,16.04.2026 04:00,40.2
PROFI,16.04.2026 20:00,36.99
SELGROS,16.04.2026 20:00,40.2
AUCHAN,17.04.2026 04:00,46.59
PROFI,17.04.2026 04:00,36.99
SELGROS,17.04.2026 04:00,40.2
