network,avg_price,min_price,max_price,stores
PENNY,2.88,1.97,7.87,26
CORA,14.39,13.99,14.49,5
SUPECO,14.99,14.99,14.99,21
KAUFLAND,15.29,15.29,15.29,164
AUCHAN,15.99,15.99,15.99,22
CARREFOUR,16.0,15.99,16.29,38
SELGROS,18.79,18.79,18.79,17

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,15.99
KAUFLAND,13.04.2026 20:00,15.29
PENNY,13.04.2026 20:00,1.97
SELGROS,13.04.2026 20:00,18.79
AUCHAN,15.04.2026 04:00,15.99
CARREFOUR,15.04.2026 04:00,16.07
CORA,15.04.2026 04:00,14.49
KAUFLAND,15.04.2026 04:00,15.29
SELGROS,15.04.2026 04:00,18.79
SUPECO,15.04.2026 04:00,14.99
AUCHAN,15.04.2026 20:00,15.99
CARREFOUR,15.04.2026 20:00,16.01
CORA,15.04.2026 20:00,14.41
KAUFLAND,15.04.2026 20:00,15.29
PENNY,15.04.2026 20:00,1.97
SELGROS,15.04.2026 20:00,18.79
SUPECO,15.04.2026 20:00,14.99
CARREFOUR,16.04.2026 04:00,16.14
KAUFLAND,16.04.2026 04:00,15.29
SELGROS,16.04.2026 04:00,18.79
AUCHAN,16.04.2026 20:00,15.99
CARREFOUR,16.04.2026 20:00,16.09
CORA,16.04.2026 20:00,14.49
KAUFLAND,16.04.2026 20:00,15.29
SELGROS,16.04.2026 20:00,18.79
AUCHAN,17.04.2026 04:00,15.99
CARREFOUR,17.04.2026 04:00,16.0
CORA,17.04.2026 04:00,14.39
KAUFLAND,17.04.2026 04:00,15.29
PENNY,17.04.2026 04:00,2.88
SELGROS,17.04.2026 04:00,18.79
SUPECO,17.04.2026 04:00,14.99
