network,avg_price,min_price,max_price,stores
CORA,2.77,2.69,2.79,5
CARREFOUR,3.89,3.89,3.89,27
AUCHAN,4.15,4.15,4.15,17

network,price_date,avg_price
AUCHAN,15.04.2026 04:00,4.15
CARREFOUR,15.04.2026 04:00,3.91
CORA,15.04.2026 04:00,2.79
AUCHAN,15.04.2026 20:00,4.15
CARREFOUR,15.04.2026 20:00,3.89
CORA,15.04.2026 20:00,2.77
CARREFOUR,16.04.2026 04:00,3.92
AUCHAN,16.04.2026 20:00,4.15
CARREFOUR,16.04.2026 20:00,3.91
CORA,16.04.2026 20:00,2.79
AUCHAN,17.04.2026 04:00,4.15
CARREFOUR,17.04.2026 04:00,3.89
CORA,17.04.2026 04:00,2.77
