network,avg_price,min_price,max_price,stores
AUCHAN,5.26,4.99,5.39,3
CARREFOUR,5.34,4.99,6.79,57
CORA,5.45,5.45,5.45,4
SELGROS,5.55,5.55,5.55,5
MEGA IMAGE SRL,6.01,5.99,6.39,123
KAUFLAND,6.09,6.09,6.09,28
PENNY,6.09,6.09,6.09,2
PROFI,6.21,5.79,6.59,144

network,price_date,avg_price
AUCHAN,15.04.2026 04:00,5.79
CARREFOUR,15.04.2026 04:00,6.39
KAUFLAND,15.04.2026 04:00,6.09
MEGA IMAGE SRL,15.04.2026 04:00,5.99
PROFI,15.04.2026 04:00,5.01
AUCHAN,15.04.2026 20:00,5.52
CARREFOUR,15.04.2026 20:00,6.29
CORA,15.04.2026 20:00,5.45
KAUFLAND,15.04.2026 20:00,6.09
MEGA IMAGE SRL,15.04.2026 20:00,6.01
PENNY,15.04.2026 20:00,4.45
PROFI,15.04.2026 20:00,4.58
SELGROS,15.04.2026 20:00,5.55
AUCHAN,17.04.2026 04:00,5.52
CARREFOUR,17.04.2026 04:00,6.29
CORA,17.04.2026 04:00,5.45
KAUFLAND,17.04.2026 04:00,6.09
MEGA IMAGE SRL,17.04.2026 04:00,6.01
PENNY,17.04.2026 04:00,4.45
PROFI,17.04.2026 04:00,4.58
SELGROS,17.04.2026 04:00,5.55
AUCHAN,17.04.2026 20:00,5.52
CARREFOUR,17.04.2026 20:00,6.28
CORA,17.04.2026 20:00,5.45
KAUFLAND,17.04.2026 20:00,6.09
MEGA IMAGE SRL,17.04.2026 20:00,6.01
PENNY,17.04.2026 20:00,4.45
PROFI,17.04.2026 20:00,4.58
SELGROS,17.04.2026 20:00,5.55
AUCHAN,18.04.2026 20:00,5.52
CARREFOUR,18.04.2026 20:00,6.28
CORA,18.04.2026 20:00,5.45
KAUFLAND,18.04.2026 20:00,6.09
MEGA IMAGE SRL,18.04.2026 20:00,6.01
PENNY,18.04.2026 20:00,4.45
PROFI,18.04.2026 20:00,4.58
SELGROS,18.04.2026 20:00,5.55
AUCHAN,19.04.2026 20:00,5.52
CARREFOUR,19.04.2026 20:00,6.28
CORA,19.04.2026 20:00,5.45
KAUFLAND,19.04.2026 20:00,6.09
MEGA IMAGE SRL,19.04.2026 20:00,6.01
PENNY,19.04.2026 20:00,4.45
PROFI,19.04.2026 20:00,4.58
SELGROS,19.04.2026 20:00,5.55
AUCHAN,20.04.2026 20:00,5.52
CARREFOUR,20.04.2026 20:00,5.33
CORA,20.04.2026 20:00,5.45
KAUFLAND,20.04.2026 20:00,6.09
MEGA IMAGE SRL,20.04.2026 20:00,5.99
PENNY,20.04.2026 20:00,4.45
PROFI,20.04.2026 20:00,6.21
SELGROS,20.04.2026 20:00,5.55
AUCHAN,21.04.2026 20:00,5.26
CARREFOUR,21.04.2026 20:00,5.33
CORA,21.04.2026 20:00,5.45
KAUFLAND,21.04.2026 20:00,6.09
MEGA IMAGE SRL,21.04.2026 20:00,5.99
PENNY,21.04.2026 20:00,4.45
PROFI,21.04.2026 20:00,6.21
SELGROS,21.04.2026 20:00,5.55
AUCHAN,22.04.2026 20:00,5.26
CARREFOUR,22.04.2026 20:00,5.33
CORA,22.04.2026 20:00,5.45
KAUFLAND,22.04.2026 20:00,6.09
MEGA IMAGE SRL,22.04.2026 20:00,5.99
PENNY,22.04.2026 20:00,6.09
PROFI,22.04.2026 20:00,6.21
SELGROS,22.04.2026 20:00,5.55
AUCHAN,23.04.2026 20:00,5.26
CARREFOUR,23.04.2026 20:00,5.34
CORA,23.04.2026 20:00,5.45
KAUFLAND,23.04.2026 20:00,6.09
MEGA IMAGE SRL,23.04.2026 20:00,6.01
PENNY,23.04.2026 20:00,6.09
PROFI,23.04.2026 20:00,6.21
SELGROS,23.04.2026 20:00,5.55
