network,avg_price,min_price,max_price,stores
AUCHAN,5.25,4.49,6.8,9
CORA,6.39,5.99,6.49,5
PROFI,6.71,4.99,6.99,373
CARREFOUR,6.86,6.69,7.69,159
MEGA IMAGE SRL,6.93,6.79,8.43,275

network,price_date,avg_price
CARREFOUR,13.04.2026 20:00,6.72
PROFI,13.04.2026 20:00,6.8
AUCHAN,15.04.2026 04:00,4.99
CARREFOUR,15.04.2026 04:00,6.78
CORA,15.04.2026 04:00,6.49
MEGA IMAGE SRL,15.04.2026 04:00,6.85
PROFI,15.04.2026 04:00,6.79
AUCHAN,15.04.2026 20:00,5.04
CARREFOUR,15.04.2026 20:00,6.89
CORA,15.04.2026 20:00,6.41
MEGA IMAGE SRL,15.04.2026 20:00,6.87
PROFI,15.04.2026 20:00,6.73
CARREFOUR,16.04.2026 04:00,6.96
MEGA IMAGE SRL,16.04.2026 04:00,6.79
PROFI,16.04.2026 04:00,6.79
AUCHAN,16.04.2026 20:00,4.99
CARREFOUR,16.04.2026 20:00,6.94
CORA,16.04.2026 20:00,6.49
MEGA IMAGE SRL,16.04.2026 20:00,6.84
PROFI,16.04.2026 20:00,6.72
AUCHAN,17.04.2026 04:00,5.25
CARREFOUR,17.04.2026 04:00,6.86
CORA,17.04.2026 04:00,6.39
MEGA IMAGE SRL,17.04.2026 04:00,6.93
PROFI,17.04.2026 04:00,6.71
