network,avg_price,min_price,max_price,stores
KAUFLAND,20.99,20.99,20.99,5
CARREFOUR,21.31,18.75,24.99,4
MEGA IMAGE SRL,21.99,21.99,21.99,12

network,price_date,avg_price
AUCHAN,15.04.2026 04:00,20.99
CARREFOUR,15.04.2026 04:00,23.58
CORA,15.04.2026 04:00,15.99
KAUFLAND,15.04.2026 04:00,20.99
MEGA IMAGE SRL,15.04.2026 04:00,21.99
PROFI,15.04.2026 04:00,14.49
SELGROS,15.04.2026 04:00,22.12
AUCHAN,15.04.2026 20:00,20.77
CARREFOUR,15.04.2026 20:00,22.07
CORA,15.04.2026 20:00,15.99
KAUFLAND,15.04.2026 20:00,20.99
MEGA IMAGE SRL,15.04.2026 20:00,21.99
PROFI,15.04.2026 20:00,12.75
CARREFOUR,16.04.2026 04:00,21.31
KAUFLAND,16.04.2026 04:00,20.99
MEGA IMAGE SRL,16.04.2026 04:00,21.99
