network,avg_price,min_price,max_price,stores
MEGA IMAGE SRL,14.09,14.09,14.09,5
CARREFOUR,14.16,13.49,14.99,3
PROFI,14.59,14.59,14.59,1

network,price_date,avg_price
AUCHAN,15.04.2026 04:00,13.49
CARREFOUR,15.04.2026 04:00,13.55
CORA,15.04.2026 04:00,12.19
MEGA IMAGE SRL,15.04.2026 04:00,14.09
PROFI,15.04.2026 04:00,14.59
SELGROS,15.04.2026 04:00,15.6
AUCHAN,15.04.2026 20:00,13.31
CARREFOUR,15.04.2026 20:00,13.99
CORA,15.04.2026 20:00,12.19
MEGA IMAGE SRL,15.04.2026 20:00,14.09
PROFI,15.04.2026 20:00,14.59
CARREFOUR,16.04.2026 04:00,14.16
MEGA IMAGE SRL,16.04.2026 04:00,14.09
PROFI,16.04.2026 04:00,14.59
