network,avg_price,min_price,max_price,stores
PENNY,11.99,11.99,11.99,1
SELGROS,12.18,10.89,13.04,5
KAUFLAND,13.96,10.59,16.49,28
AUCHAN,15.2,11.99,15.49,12
CORA,15.49,15.49,15.49,4
MEGA IMAGE SRL,15.89,15.79,16.99,123
CARREFOUR,15.9,12.49,17.99,57
PROFI,17.37,17.24,17.99,104

network,price_date,avg_price
CARREFOUR,15.04.2026 04:00,12.35
KAUFLAND,15.04.2026 04:00,16.49
MEGA IMAGE SRL,15.04.2026 04:00,15.79
PROFI,15.04.2026 04:00,17.29
AUCHAN,15.04.2026 20:00,11.24
CARREFOUR,15.04.2026 20:00,13.49
CORA,15.04.2026 20:00,10.79
KAUFLAND,15.04.2026 20:00,13.99
MEGA IMAGE SRL,15.04.2026 20:00,15.82
PENNY,15.04.2026 20:00,11.99
PROFI,15.04.2026 20:00,17.36
SELGROS,15.04.2026 20:00,14.81
AUCHAN,17.04.2026 04:00,11.24
CARREFOUR,17.04.2026 04:00,13.49
CORA,17.04.2026 04:00,13.14
KAUFLAND,17.04.2026 04:00,13.61
MEGA IMAGE SRL,17.04.2026 04:00,15.89
PENNY,17.04.2026 04:00,11.99
PROFI,17.04.2026 04:00,17.36
SELGROS,17.04.2026 04:00,14.4
AUCHAN,17.04.2026 20:00,11.24
CARREFOUR,17.04.2026 20:00,16.75
CORA,17.04.2026 20:00,15.49
KAUFLAND,17.04.2026 20:00,14.37
MEGA IMAGE SRL,17.04.2026 20:00,15.9
PENNY,17.04.2026 20:00,11.99
PROFI,17.04.2026 20:00,17.36
SELGROS,17.04.2026 20:00,12.42
AUCHAN,18.04.2026 20:00,11.24
CARREFOUR,18.04.2026 20:00,16.75
CORA,18.04.2026 20:00,15.49
KAUFLAND,18.04.2026 20:00,14.18
MEGA IMAGE SRL,18.04.2026 20:00,15.9
PENNY,18.04.2026 20:00,11.99
PROFI,18.04.2026 20:00,17.36
SELGROS,18.04.2026 20:00,15.7
AUCHAN,19.04.2026 20:00,11.32
CARREFOUR,19.04.2026 20:00,16.57
CORA,19.04.2026 20:00,14.31
KAUFLAND,19.04.2026 20:00,14.76
MEGA IMAGE SRL,19.04.2026 20:00,15.9
PENNY,19.04.2026 20:00,11.99
PROFI,19.04.2026 20:00,17.36
SELGROS,19.04.2026 20:00,14.61
AUCHAN,20.04.2026 20:00,11.32
CARREFOUR,20.04.2026 20:00,15.83
CORA,20.04.2026 20:00,14.31
KAUFLAND,20.04.2026 20:00,14.37
MEGA IMAGE SRL,20.04.2026 20:00,15.91
PENNY,20.04.2026 20:00,11.99
PROFI,20.04.2026 20:00,17.36
SELGROS,20.04.2026 20:00,12.42
AUCHAN,21.04.2026 20:00,11.32
CARREFOUR,21.04.2026 20:00,15.88
CORA,21.04.2026 20:00,13.14
KAUFLAND,21.04.2026 20:00,14.37
MEGA IMAGE SRL,21.04.2026 20:00,15.88
PENNY,21.04.2026 20:00,11.99
PROFI,21.04.2026 20:00,17.36
SELGROS,21.04.2026 20:00,11.32
AUCHAN,22.04.2026 20:00,15.2
CARREFOUR,22.04.2026 20:00,15.83
CORA,22.04.2026 20:00,13.14
KAUFLAND,22.04.2026 20:00,13.65
MEGA IMAGE SRL,22.04.2026 20:00,15.92
PENNY,22.04.2026 20:00,11.99
PROFI,22.04.2026 20:00,17.37
SELGROS,22.04.2026 20:00,11.32
AUCHAN,23.04.2026 20:00,15.2
CARREFOUR,23.04.2026 20:00,15.9
CORA,23.04.2026 20:00,15.49
KAUFLAND,23.04.2026 20:00,13.96
MEGA IMAGE SRL,23.04.2026 20:00,15.89
PENNY,23.04.2026 20:00,11.99
PROFI,23.04.2026 20:00,17.37
SELGROS,23.04.2026 20:00,12.18
